,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence,avg_mse,min_mse,max_mse,avg_psnr,min_psnr,max_psnr
0,0,25,,,,,f,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or retrieved.  
6. 0:00 - 0:05: The mouse is positioned with its head fixed, facing the spout. The water drop is visible on the spout.  
0:06 - 0:10: The mouse extends its right paw toward the spout but does not make contact with the water drop.  
0:11 - 0:15: The mouse retracts its paw without touching the drop.  
0:16 - 0:20: The mouse remains stationary, with no further movement of the paw or tongue toward the spout.  
0:21 - 0:25: The water drop remains attached to the spout, and no interaction occurs.  
0:26 - 0:30: The mouse continues to remain in place, with no observable attempt to retrieve the water.  
0:31 - 0:35: The mouse's tongue is visible but does not make contact with the water drop.  
0:36 - 0:40: The mouse remains motionless, and the water drop stays on the spout.  
0:41 - 0:45: No change in the mouse's behavior or the position of the water drop.  
0:46 - 0:50: The mouse's right paw remains at rest, and no movement toward the spout is observed.  
0:51 - 0:55: The mouse's tongue is not extended, and no licking behavior is seen.  
0:56 - 1:00: The water drop remains on the spout, and the mouse does not attempt to retrieve it.  
1:01 - 1:05: The mouse's right paw is still not near the spout, and no interaction occurs.  
1:06 - 1:10: The mouse remains in the same position, with no movement of the paw or tongue.  
1:11 - 1:15: The water drop is still attached to the spout, and no physical contact is made.  
1:16 - 1:20: The mouse's tongue is not extended, and no licking behavior is observed.  
1:21 - 1:25: The mouse remains stationary, with no attempt to retrieve the water.  
1:26 - 1:30: The water drop remains on the spout, and no interaction occurs.  
1:31 - 1:35: The mouse's right paw is not near the spout, and no movement is observed.  
1:36 - 1:40: The mouse remains in place, with no change in behavior.  
1:41 - 1:45: The water drop is still attached, and no physical contact is made.  
1:46 - 1:50: The mouse's tongue is not extended, and no licking behavior is seen.  
1:51 - 1:55: The mouse remains motionless, with no attempt to retrieve the water.  
1:56 - 2:00: The water drop remains on the spout, and no interaction occurs.  
2:01 - 2:05: The mouse's right paw is still not near the spout, and no movement is observed.  
2:06 - 2:10: The mouse remains in the same position, with no change in behavior.  
2:11 - 2:15: The water drop is still attached, and no physical contact is made.  
2:16 - 2:20: The mouse's tongue is not extended, and no licking behavior is observed.  
2:21 - 2:25: The mouse remains stationary, with no attempt to retrieve the water.  
2:26 - 2:30: The water drop remains on the spout, and no interaction occurs.  
2:31 - 2:35: The mouse's right paw is not near the spout, and no movement is observed.  
2:36 - 2:40: The mouse remains in place, with no change in behavior.  
2:41 - 2:45: The water drop is still attached, and no physical contact is made.  
2:46 - 2:50: The mouse's tongue is not extended, and no licking behavior",,47.96961038624832,35.889671546546545,57.327879754754754,31.33400942699644,30.54714480977728,32.58110877072846
1,1,27, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the paw did not reach the spout. The water drop remained attached to the spout and was not retrieved.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the paw did not reach the spout. The water drop remained attached to the spout and was not retrieved.  
6. 0:00 - 0:25: The mouse is stationary with both paws on the surface.  
0:26 - 0:30: The mouse lifts its right paw and moves it toward the spout.  
0:31 - 0:35: The right paw touches the water drop, but the drop remains attached to the spout.  
0:36 - 0:40: The mouse retracts its paw without retrieving the water.  
0:41 - 4:45: The mouse remains stationary with no further interaction with the water drop.  
7. 95%", 95%,48.034967672413785,41.4558445945946,51.52577515015015,31.318337656159507,31.010558268717663,31.954945932615843
2,2,18, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.  
6. 0:00 - 0:15: Mouse is stationary, head fixed, right paw resting.  
0:16 - 0:25: Right paw lifts and moves toward the spout.  
0:26 - 0:35: Right paw makes contact with the spout but does not touch the water drop.  
0:36 - 0:45: Right paw retracts without retrieving the water drop.  
0:46 - 1:00: Mouse remains stationary, no further movement toward the spout.  
7. 95%", 95%,48.74403017241379,41.254631506506506,56.4998998998999,31.265505128258244,30.610326824813853,31.976076485927287
3,3,33,,,,,f,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.  
6. 0:00 - 0:10: The mouse is positioned with its head fixed, paws resting on the surface, and the water drop is visible on the spout.  
0:11 - 0:20: The mouse begins to move its right paw toward the spout, but the paw does not make contact with the water drop.  
0:21 - 0:30: The mouse continues to attempt reaching the water drop with its right paw, but the paw remains at a distance and does not touch the drop.  
0:31 - 0:40: The mouse retracts its right paw and returns to its initial position.  
0:41 - 0:50: The mouse remains stationary, with no further attempts to reach the water drop.  
0:51 - 1:00: The mouse continues to remain in the same position, with no movement of the right paw or tongue toward the water drop.  
1:01 - 1:10: The mouse remains stationary, and no further attempts are made to reach the water drop.  
1:11 - 1:20: The mouse remains in the same position, with no movement of the right paw or tongue toward the water drop.  
1:21 - 1:30: The mouse remains stationary, and no further attempts are made to reach the water drop.  
1:31 - 1:40: The mouse remains in the same position, with no movement of the right paw or tongue toward the water drop.  
1:41 - 1:50: The mouse remains stationary, and no further attempts are made to reach the water drop.  
1:51 - 2:00: The mouse remains in the same position, with no movement of the right paw or tongue toward the water drop.  
2:01 - 2:10: The mouse remains stationary, and no further attempts are made to reach the water drop.  
2:11 - 2:20: The mouse remains in the same position, with no movement of the right paw or tongue toward the water drop.  
2:21 - 2:30: The mouse remains stationary, and no further attempts are made to reach the water drop.  
2:31 - 2:40: The mouse remains in the same position, with no movement of the right paw or tongue toward the water drop.  
2:41 - 2:50: The mouse remains stationary, and no further attempts are made to reach the water drop.  
2:51 - 3:00: The mouse remains in the same position, with no movement of the right paw or tongue toward the water drop.  
3:01 - 3:10: The mouse remains stationary, and no further attempts are made to reach the water drop.  
3:11 - 3:20: The mouse remains in the same position, with no movement of the right paw or tongue toward the water drop.  
3:21 - 3:30: The mouse remains stationary, and no further attempts are made to reach the water drop.  
3:31 - 3:40: The mouse remains in the same position, with no movement of the right paw or tongue toward the water drop.  
3:41 - 3:50: The mouse remains stationary, and no further attempts are made to reach the water drop.  
3:51 - 4:00: The mouse remains in the same position, with no movement of the right paw or tongue toward the water drop.  
4:01 - 4:10: The mouse remains stationary, and no further attempts are made to reach the water drop.  
4:11 - 4:20: The mouse remains in the same position, with no movement of the right paw or tongue toward the water drop.  
4:21 - 4:30: The mouse remains stationary, and no further attempts are made to reach the water drop.  
4:31 - 4:40: The mouse remains in the same position, with no movement of the right paw or tongue toward the water drop.  
4:41 - 4:50: The mouse remains stationary, and no further attempts are made to reach the water drop.  
4:51 - 5:00: The mouse",,48.38189604475164,41.99454329329329,55.97061061061061,31.29450924800501,30.651203160056284,31.89887498364549
4,4,41, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.  
6. 0:00 - 0:50: The mouse remains stationary with both paws on the surface.  
0:50 - 1:00: The mouse lifts its right paw and moves it toward the spout.  
1:00 - 1:10: The right paw touches the spout but does not make contact with the water drop.  
1:10 - 1:20: The mouse retracts its paw and returns to a stationary position.  
1:20 - 4:45: The mouse remains stationary with no further movement toward the spout.  
7. 95%", 95%,48.1235641244693,40.30816629129129,56.26920232732733,31.32028105192637,30.628096022324097,32.07687319293565
5,5,1, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.  
6. 0:00 - 1:02: Mouse is stationary, paws on surface, no water drop visible.  
1:03 - 1:10: Water drop appears on spout, mouse remains still.  
1:11 - 1:20: Mouse lifts left paw toward the spout, but the paw does not make contact with the water drop.  
1:21 - 1:30: Mouse lowers left paw, no contact with water drop.  
1:31 - 4:45: Mouse remains in position, no further movement toward the spout. Water drop remains on spout.  
7. 95%", 95%,48.98272973404439,42.69485485485485,56.30230980980981,31.23532299994753,30.62554148661725,31.827048193974463
6,6,16, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.  
6. 0:00 - 0:22: Mouse is stationary, head fixed, paws on surface.  
0:23 - 0:30: Mouse lifts right paw toward the spout.  
0:31 - 0:40: Right paw makes contact with the spout but does not touch the water drop.  
0:41 - 1:00: Mouse retracts paw without retrieving the water drop.  
1:01 - 4:45: Mouse remains in position, no further attempts to reach the water drop.  
7. 95%", 95%,46.75676887016326,41.86300988488488,51.060422922922925,31.437093783936163,31.04995953213407,31.912499106491996
7,7,51,,,,,f,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.  
6. 0:00 - 0:30: The mouse is positioned with both paws on the surface, head fixed, and no water drop visible.  
0:30 - 0:40: The water drop appears on the spout, but the mouse does not move its right paw toward it.  
0:40 - 1:00: The mouse lifts its right paw slightly but does not reach the spout or touch the water drop.  
1:00 - 1:30: The mouse lowers its right paw back to the surface without interacting with the water drop.  
1:30 - 2:00: The mouse remains stationary, with no further movement toward the spout.  
2:00 - 2:30: The mouse lifts its right paw again but does not make contact with the water drop.  
2:30 - 3:00: The mouse lowers its paw and remains in place.  
3:00 - 3:30: The mouse lifts its right paw once more but does not reach the spout.  
3:30 - 4:00: The mouse lowers its paw and remains stationary.  
4:00 - 4:30: The mouse lifts its right paw again but does not touch the water drop.  
4:30 - 5:00: The mouse lowers its paw and remains in place.  
5:00 - 5:30: The mouse lifts its right paw again but does not reach the spout.  
5:30 - 6:00: The mouse lowers its paw and remains stationary.  
6:00 - 6:30: The mouse lifts its right paw again but does not touch the water drop.  
6:30 - 7:00: The mouse lowers its paw and remains in place.  
7:00 - 7:30: The mouse lifts its right paw again but does not reach the spout.  
7:30 - 8:00: The mouse lowers its paw and remains stationary.  
8:00 - 8:30: The mouse lifts its right paw again but does not touch the water drop.  
8:30 - 9:00: The mouse lowers its paw and remains in place.  
9:00 - 9:30: The mouse lifts its right paw again but does not reach the spout.  
9:30 - 10:00: The mouse lowers its paw and remains stationary.  
10:00 - 10:30: The mouse lifts its right paw again but does not touch the water drop.  
10:30 - 11:00: The mouse lowers its paw and remains in place.  
11:00 - 11:30: The mouse lifts its right paw again but does not reach the spout.  
11:30 - 12:00: The mouse lowers its paw and remains stationary.  
12:00 - 12:30: The mouse lifts its right paw again but does not touch the water drop.  
12:30 - 13:00: The mouse lowers its paw and remains in place.  
13:00 - 13:30: The mouse lifts its right paw again but does not reach the spout.  
13:30 - 14:00: The mouse lowers its paw and remains stationary.  
14:00 - 14:30: The mouse lifts its right paw again but does not touch the water drop.  
14:30 - 15:00: The mouse lowers its paw and remains in place.  
15:00 - 15:30: The mouse lifts its right paw again but does not reach the spout.  
15:30 - 16:00: The mouse lowers its paw and remains stationary.  
16:00 - 16:30: The mouse lifts its right paw again but does not touch the water drop.  
16:30 - 17:00: The mouse lowers its paw and remains in place.  
17:00 - 17:30: The mouse lifts its right paw again but does not reach the spout.  
17:30 - 18:00:",,49.13211584429256,39.99331081081081,57.37568130630631,31.22959914447782,30.54352505271393,32.1109300256215
8,8,39, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.  
6. 0:00 - 0:28: Mouse is stationary, paws on surface, no movement toward spout.  
0:29 - 0:38: Mouse lifts left paw and moves it toward the spout, but does not make contact with the water drop.  
0:39 - 0:45: Mouse retracts left paw, no further movement toward the spout.  
0:46 - 4:45: Mouse remains stationary, no further attempts to reach the water drop.  
7. 95%", 95%,49.3081963860412,43.47235985985986,55.53078766266266,31.20902060739919,30.685465272094635,31.74867144732801
9,9,29, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.  
6. 0:00 - 0:15: Mouse is stationary, head fixed, paws on surface.  
0:16 - 0:25: Right paw lifts and moves toward the spout.  
0:26 - 0:35: Right paw makes contact with the spout but does not touch the water drop.  
0:36 - 0:45: Right paw retracts without bringing the water drop to the mouth.  
0:46 - 4:45: Mouse remains in position, no further movement toward the spout.  
7. 95%", 95%,45.89681789548169,40.1477784034034,52.22312562562563,31.525073457396097,30.952174994832728,32.09418842482028
