,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence,avg_mse,min_mse,max_mse,avg_psnr,min_psnr,max_psnr
0,0,28, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.  
6. 0:00 - 1:40: Mouse is stationary, head fixed, paws resting on the surface.  
1:41 - 2:00: Mouse lifts its right paw and moves it toward the spout area.  
2:01 - 2:10: Right paw makes contact with the spout, but no water drop is visible or transferred.  
2:11 - 4:45: Mouse brings its right paw to its mouth, but no water is seen on the paw or in the mouth.  
4:46 - 4:46: Mouse continues to hold its paw near its mouth, no water is consumed.  
7. 95%", 95%,48.37216362914639,40.25659784784785,60.275964089089086,31.30336866239601,30.329361954024424,32.08243291714654
1,1,25, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.  
6. 0:00 - 2:00: The mouse remains stationary, with no movement of the right paw or tongue toward the spout.  
2:00 - 2:10: The mouse lifts its right paw and brings it toward the spout, but no water drop is visible or touched.  
2:10 - 4:45: The mouse attempts to lick the spout with its tongue, but no physical contact with the water drop is observed.  
4:45 - 4:45: The mouse continues to lick the spout, but no water is consumed.  
7. 95%", 95%,49.68732726260744,41.65435685685686,58.355744494494495,31.180420280825956,30.46996746768217,31.93419927515685
2,2,27, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout. The water drop remained attached to the spout, and no retrieval occurred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout. The water drop remained attached to the spout, and no retrieval occurred.  
6. 0:00 - 1:25: The mouse is stationary, with both paws on the surface and no movement toward the spout.  
1:26 - 1:30: The mouse lifts its right paw and moves it toward the spout, but the paw does not make contact with the water drop.  
1:31 - 4:45: The mouse brings its right paw close to its mouth, but the water drop remains on the spout and is not touched.  
7. 95%", 95%,47.35546823763418,41.46765202702703,58.27911286286286,31.397287141520515,30.475674286432547,31.953709153417083
3,3,32, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.  
6. 0:00 - 1:18: Mouse remains stationary, head fixed, no movement of paws or tongue toward the spout.  
1:19 - 1:25: Mouse lifts its right paw slightly but does not reach the spout or interact with the water drop.  
1:26 - 4:45: Mouse brings its right paw toward its mouth, but the paw does not make contact with the water drop. The tongue does not extend to lick the drop.  
4:46 - 4:46: Mouse lowers its paw, no further interaction with the water drop.  
7. 95%", 95%,46.95131176435055,42.10664476976977,58.49137637637638,31.42462630641881,30.45988519883588,31.88729724435276
4,4,33, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout. The water drop remained attached to the spout and was not retrieved.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout. The water drop remained attached to the spout and was not retrieved.  
6. 0:00 - 1:20: The mouse is stationary, with both paws on the surface.  
1:20 - 1:40: The mouse lifts its right paw and moves it toward the spout.  
1:40 - 2:00: The right paw approaches the spout but does not make contact with the water drop.  
2:00 - 2:20: The right paw retracts without touching the water drop.  
2:20 - 4:40: The mouse remains stationary, with no further movement of the right paw toward the spout.  
7. 95%", 95%,50.58190163223568,41.27332207207207,61.69391141141141,31.11084684430071,30.22838055358213,31.974109344061876
5,5,61, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed.  
6. 0:00 - 1:36: Mouse is stationary, head fixed, paws resting on surface.  
1:37 - 1:40: Mouse lifts its right paw slightly but does not move it toward the spout.  
1:41 - 4:45: Mouse brings its right paw to its mouth and licks it repeatedly, but no water drop is visible or touched.  
4:46 - 4:46: No change observed.  
7. 95%", 95%,45.795457386265575,36.9893506006006,56.57645207707708,31.544957384519115,30.604446516044845,32.45003654128115
6,6,67, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The mouse's right paw moved toward the spout but did not touch the water drop, and the tongue did not make contact with the drop. Therefore, no water was retrieved.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The mouse's right paw moved toward the spout but did not touch the water drop, and the tongue did not make contact with the drop. Therefore, no water was retrieved.  
6. 0:00 - 1:15: The mouse is stationary, with both paws on the surface.  
1:16 - 1:20: The mouse lifts its right paw and moves it toward the spout.  
1:21 - 1:25: The right paw approaches the spout but does not touch the water drop.  
1:26 - 1:30: The right paw retracts without making contact with the water drop.  
1:31 - 4:45: The mouse remains stationary, with no further movement toward the spout.  
7. 95%", 95%,46.64455145878637,38.11558996496497,60.26393018018018,31.46366243863282,30.330229096024823,32.319777145646704
7,7,66, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not move toward the spout. The water drop remained attached to the spout throughout the trial, and no retrieval occurred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not move toward the spout. The water drop remained attached to the spout throughout the trial, and no retrieval occurred.  
6. 0:00 - 1:30: Mouse is stationary, head fixed, paws resting on the surface.  
1:31 - 2:00: Mouse lifts its right paw and moves it toward the spout, but does not make contact with the water drop.  
2:01 - 4:40: Mouse retracts its paw and remains stationary, with no further interaction with the water drop.  
7. 95%", 95%,47.63243916330122,40.05431744244244,58.36749499499499,31.36845969644224,30.46909306125436,32.10431025457142
8,8,118, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The right paw did not move toward the spout, and the tongue did not touch the drop.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The right paw did not move toward the spout, and the tongue did not touch the drop.  
6. 0:00 - 1:30: The mouse remains stationary with both paws on the surface.  
1:30 - 2:00: The mouse lifts its right paw and moves it toward the spout.  
2:00 - 2:30: The right paw touches the spout, but no water drop is visible.  
2:30 - 3:00: The mouse retracts its paw and returns to a stationary position.  
3:00 - 4:40: The mouse remains stationary with no further movement.  
7. 95%", 95%,48.189380814003655,40.13730355355355,62.8551295045045,31.326158927968823,30.147396353360115,32.09532167882052
9,9,111, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout. The water drop remained attached to the spout and was not retrieved.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout. The water drop remained attached to the spout and was not retrieved.  
6. 0:00 - 2:58: The mouse remains stationary with its head fixed, paws resting on the surface.  
2:59 - 3:05: The mouse lifts its right paw and moves it toward the spout.  
3:06 - 3:10: The mouse's right paw touches the water drop on the spout.  
3:11 - 3:15: The mouse retracts its right paw, and the water drop remains on the spout.  
3:16 - 4:44: The mouse continues to move its paws but does not make further contact with the water drop.  
7. 95%", 95%,47.97293978245487,41.58195508008008,57.973262012012015,31.33414976391223,30.49852623133681,31.9417545594631
