,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,25, No, Yes, No,0.0,f," Failed: The mouse’s right paw did not come near the water drop, and no physical contact was made between the tongue and the drop. The mouse’s head is fixed, and the tongue cannot reach the spout directly. The water drop remains on the spout without being touched or moved by the mouse.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse’s right paw did not come near the water drop, and no physical contact was made between the tongue and the drop. The mouse’s head is fixed, and the tongue cannot reach the spout directly. The water drop remains on the spout without being touched or moved by the mouse.  
6. 0:00 - 0:59: Mouse is stationary, right paw resting on the surface.  
   1:00 - 1:30: Mouse begins to move its right paw toward the spout, but does not reach the water drop.  
   1:31 - 4:45: Mouse continues to move its right paw, but never brings it close enough to the water drop to make contact. The water drop remains on the spout.  
7. 100%", 100%
1,1,27, No, Yes, No,0.0,f," Failed: The mouse’s tongue never made physical contact with the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue ever touching the drop. Since the tongue is the only organ capable of licking the drop (as per the head-fixed setup), and no contact occurred, the mouse did not consume any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse’s tongue never made physical contact with the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue ever touching the drop. Since the tongue is the only organ capable of licking the drop (as per the head-fixed setup), and no contact occurred, the mouse did not consume any water.  
6. 0:00 - 0:20: Mouse is stationary, paws resting on surface.  
0:21 - 0:30: Mouse lifts right paw slightly.  
0:31 - 1:00: Mouse extends right paw toward spout and begins to touch the water drop.  
1:01 - 3:00: Mouse repeatedly manipulates the water drop with its right paw, bringing it close to its mouth but never allowing the tongue to make contact.  
3:01 - 4:45: Mouse continues to manipulate the drop with its paw, occasionally licking its paw, but no water is consumed.  
7. 95%", 95%
2,2,18, No, Yes, No,0.0,f," Failed: The mouse’s right paw repeatedly touched the water drop, but there was no observable physical contact between the tongue and the drop. The mouse did not lick or consume any portion of the water drop.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse’s right paw repeatedly touched the water drop, but there was no observable physical contact between the tongue and the drop. The mouse did not lick or consume any portion of the water drop.  
6. 0:00 - 0:10: Mouse is stationary, paws resting on the surface.  
0:10 - 0:20: Mouse raises its right paw toward the spout.  
0:20 - 0:30: Right paw makes contact with the water drop.  
0:30 - 1:00: Mouse repeatedly moves its right paw toward and away from the drop, but does not lick or consume any water.  
1:00 - 2:00: Mouse continues to manipulate the drop with its paw, but no tongue contact occurs.  
2:00 - 3:00: Mouse continues to interact with the drop using its paw, but no consumption occurs.  
3:00 - 4:00: Mouse continues to manipulate the drop with its paw, but no consumption occurs.  
4:00 - 4:45: Mouse continues to interact with the drop using its paw, but no consumption occurs.  
7. 95%", 95%
3,3,33, No, Yes, No,0.0,f," Failed: The mouse’s right paw repeatedly touched and manipulated the water drop, but there was no observable physical contact between the tongue and the drop. The mouse did not bring the drop close enough to its mouth for licking, and no evidence of water being ingested was observed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse’s right paw repeatedly touched and manipulated the water drop, but there was no observable physical contact between the tongue and the drop. The mouse did not bring the drop close enough to its mouth for licking, and no evidence of water being ingested was observed.  
6. 0:00 - 0:10: Mouse is stationary, paws resting on surface.  
0:10 - 0:20: Mouse lifts right paw slightly, then lowers it.  
0:20 - 0:30: Mouse lifts right paw again, then brings it toward the spout.  
0:30 - 0:40: Mouse touches the water drop with its right paw.  
0:40 - 1:00: Mouse manipulates the drop with its paw, but does not bring it to its mouth.  
1:00 - 2:00: Mouse continues to manipulate the drop with its paw, occasionally licking its paw.  
2:00 - 3:00: Mouse continues to manipulate the drop with its paw, but does not bring it to its mouth.  
3:00 - 4:00: Mouse continues to manipulate the drop with its paw, occasionally licking its paw.  
4:00 - 4:45: Mouse continues to manipulate the drop with its paw, but does not bring it to its mouth.  
7. 95%", 95%
4,4,41, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of drinking, and no contact occurred, the mouse did not consume any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of drinking, and no contact occurred, the mouse did not consume any water.  
6. 0:00 - 0:50: Mouse is stationary, paws resting on the surface.  
0:50 - 1:00: Mouse raises its right paw toward the spout.  
1:00 - 1:30: Mouse touches the water drop with its right paw and begins to lick the paw.  
1:30 - 4:45: Mouse continues to lick its paw, but no contact between the tongue and the water drop is observed.  
7. 100%", 100%
5,5,1, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water, resulting in a failed trial.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water, resulting in a failed trial.  
6. 0:58 - 1:02: Water drop forms and remains attached to the spout.  
   1:03 - 1:10: Mouse lifts its right paw and moves it toward the water drop.  
   1:11 - 1:20: Mouse’s right paw touches the water drop.  
   1:21 - 4:45: Mouse licks the water drop with its tongue, but the tongue never makes physical contact with the drop. The mouse’s tongue remains at a distance from the drop, and no licking motion is observed.  
7. 95%", 95%
6,6,16, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The mouse’s tongue remains visibly separated from the water drop throughout the entire interaction.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The mouse’s tongue remains visibly separated from the water drop throughout the entire interaction.  
6. 0:00 - 0:20: Mouse is stationary, paws resting on the surface.  
0:21 - 0:40: Mouse raises its right paw and begins to move it toward the spout.  
0:41 - 1:00: Mouse’s right paw makes contact with the water drop and begins to manipulate it.  
1:01 - 4:45: Mouse continues to hold and manipulate the water drop with its right paw, bringing it close to its mouth, but no tongue contact with the drop is observed. The mouse’s tongue remains visibly separated from the water drop.  
7. 95%", 95%
7,7,51, No, Yes, No,0.0,f," Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary or moved away from the spout without bringing the water drop close to its mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary or moved away from the spout without bringing the water drop close to its mouth.  
6. 0:00 - 0:10: Mouse is stationary, paws resting.  
0:10 - 0:20: Mouse begins to move paws upward, but does not reach the spout.  
0:20 - 0:40: Mouse continues to move paws, but no contact with the water drop is made.  
0:40 - 1:00: Mouse’s paws remain stationary or move slightly away from the spout.  
1:00 - 1:30: Mouse’s paws are still not reaching the spout or the water drop.  
1:30 - 2:00: Mouse’s paws remain stationary or move slightly away from the spout.  
2:00 - 2:30: Mouse’s paws remain stationary or move slightly away from the spout.  
2:30 - 3:00: Mouse’s paws remain stationary or move slightly away from the spout.  
3:00 - 3:30: Mouse’s paws remain stationary or move slightly away from the spout.  
3:30 - 4:00: Mouse’s paws remain stationary or move slightly away from the spout.  
4:00 - 4:30: Mouse’s paws remain stationary or move slightly away from the spout.  
7. 95%", 95%
8,8,39, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but since the mouse is head-fixed and its tongue cannot reach the spout directly, the water drop was not consumed. The mouse’s tongue never made contact with the water drop, and no drinking occurred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but since the mouse is head-fixed and its tongue cannot reach the spout directly, the water drop was not consumed. The mouse’s tongue never made contact with the water drop, and no drinking occurred.  
6. 0:00 - 0:16: Mouse is stationary, paws resting on the surface.  
0:17 - 0:30: Mouse begins to move its left paw slightly.  
0:31 - 0:45: Mouse raises its right paw toward the spout.  
0:46 - 1:00: Mouse’s right paw touches the water drop.  
1:01 - 4:45: Mouse repeatedly licks its paw and brings it to its mouth, but no water is consumed. The water drop remains on the spout throughout.  
7. 95%", 95%
9,9,29, No, Yes, No,0.0,f," Failed: The mouse’s right paw repeatedly touched the water drop, but there was no observable physical contact between the tongue and the drop. The mouse did not lick or consume any water, and no water was splashed or dropped during retrieval. Since no tongue contact occurred, the mouse did not drink any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse’s right paw repeatedly touched the water drop, but there was no observable physical contact between the tongue and the drop. The mouse did not lick or consume any water, and no water was splashed or dropped during retrieval. Since no tongue contact occurred, the mouse did not drink any water.  
6. 0:00 - 0:20: Mouse is stationary, paws resting on surface.  
0:21 - 0:30: Mouse lifts right paw toward spout.  
0:31 - 1:00: Mouse repeatedly touches water drop with right paw, but tongue does not make contact.  
1:01 - 4:45: Mouse continues to touch water drop with right paw, but no licking or consumption occurs.  
7. 95%", 95%
