,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue. The water drop was not consumed, and no evidence of licking or drinking occurred. The mouse’s right paw did not reach the water drop, and the drop remained on the spout without being touched or moved.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The water drop was not consumed, and no evidence of licking or drinking occurred. The mouse’s right paw did not reach the water drop, and the drop remained on the spout without being touched or moved.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting on surface.  
1:00 - 1:10: Water drop forms and remains on the spout.  
1:10 - 1:40: Mouse raises its right paw toward the water drop but does not make contact.  
1:40 - 4:45: Mouse continues to hold and manipulate the water drop with its right paw, but the drop remains intact and is not licked or consumed. No tongue contact with the drop is observed.  
7. 100%", 100%
1,1,27, No, Yes, No,0.0,f, Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw did not reach the water drop or bring it close to its mouth. The water drop remained on the spout and was not retrieved or consumed.,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw did not reach the water drop or bring it close to its mouth. The water drop remained on the spout and was not retrieved or consumed.  
6. 0:00 - 1:50: Mouse remains stationary, paws resting on surface.  
   1:50 - 2:00: Mouse’s right paw begins to move toward the spout.  
   2:00 - 2:10: Mouse’s right paw makes contact with the water drop.  
   2:10 - 4:45: Mouse holds the water drop with its paws and attempts to lick it, but the tongue does not make contact with the drop.  
7. 95%", 95%
2,2,32, No, Yes, Yes,0.0,f, Failed: The mouse did not make physical contact with the water drop using its tongue. The water drop was not retrieved or consumed by the mouse. The mouse’s right paw remained stationary and did not move toward the spout or the water drop.,"1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue. The water drop was not retrieved or consumed by the mouse. The mouse’s right paw remained stationary and did not move toward the spout or the water drop.  
6. 0:00 - 0:40: Mouse is stationary, head fixed, paws resting on surface.  
   0:41 - 1:00: Mouse begins to move its right paw slightly but does not reach the spout.  
   1:01 - 1:20: Mouse extends its right paw toward the spout, but does not make contact with the water drop.  
   1:21 - 2:00: Mouse continues to move its right paw, but the paw does not reach the water drop.  
   2:01 - 3:00: Mouse continues to move its right paw, but the paw does not reach the water drop.  
   3:01 - 4:45: Mouse continues to move its right paw, but the paw does not reach the water drop.  
7. 100%", 100%
3,3,18, No, Yes, Yes,0.0,ps," Failed: The mouse did not make physical contact with the water drop using its tongue. The mouse used its right paw to touch and manipulate the water drop, but no tongue contact occurred. Since the mouse’s tongue did not make contact with the drop, it cannot be classified as successful or partial success under the specified criteria.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue. The mouse used its right paw to touch and manipulate the water drop, but no tongue contact occurred. Since the mouse’s tongue did not make contact with the drop, it cannot be classified as successful or partial success under the specified criteria.  
6. 0:00 - 1:00: Mouse is stationary, paws resting on surface.  
1:00 - 1:20: Water drop forms and remains attached to the spout.  
1:20 - 1:40: Mouse extends right paw toward the water drop.  
1:40 - 2:00: Mouse uses right paw to touch and manipulate the water drop.  
2:00 - 4:45: Mouse continues to manipulate the water drop with its right paw, but no tongue contact occurs. Some water is splashed during manipulation.  
7. 95%", 95%
4,4,33, No, Yes, No,0.0,f, Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw did not reach the water drop or bring it close to its mouth. The water drop was not consumed.,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw did not reach the water drop or bring it close to its mouth. The water drop was not consumed.  
6. 0:00 - 1:00: Mouse is stationary, paws resting on surface.  
1:00 - 1:30: Mouse lifts right paw and begins to interact with the spout, but does not reach the water drop.  
1:30 - 3:30: Mouse continues to manipulate the spout with its right paw, but the water drop remains untouched.  
3:30 - 4:45: Mouse returns to resting position; no further interaction with the water drop.  
7. 100%", 100%
5,5,61, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop using its tongue. The water drop was not consumed, and the mouse’s tongue never touched the drop. The mouse used its right paw to touch the water drop, but since the tongue did not make contact, no water was ingested.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue. The water drop was not consumed, and the mouse’s tongue never touched the drop. The mouse used its right paw to touch the water drop, but since the tongue did not make contact, no water was ingested.  
6. 0:00 - 1:18: Mouse is stationary, paws resting.  
   1:19 - 1:25: Water drop forms and remains attached to the spout.  
   1:26 - 1:30: Mouse’s right paw lifts and moves toward the water drop.  
   1:31 - 1:35: Mouse’s right paw touches the water drop.  
   1:36 - 4:45: Mouse licks the water drop from its paw, but no tongue contact with the drop is observed.  
7. 95%", 95%
6,6,67, No, Yes, No,0.0,f, Failed: The mouse did not make any physical contact with the water drop using its tongue or paw. The water drop remained on the spout and was never touched or moved by the mouse.,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue or paw. The water drop remained on the spout and was never touched or moved by the mouse.  
6. 0:00 - 4:45: The mouse remains stationary with its paws on the surface. The water drop is visible on the spout but is never touched or interacted with by the mouse.  
7. 100%", 100%
7,7,66, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue did not touch the drop, the mouse could not have consumed any of the water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue did not touch the drop, the mouse could not have consumed any of the water.  
6. 0:00 - 1:00: Mouse is stationary with paws on surface.  
1:00 - 1:10: Water drop forms and attaches to spout.  
1:10 - 1:40: Mouse begins to move its right paw toward the water drop.  
1:40 - 2:00: Mouse’s right paw makes contact with the water drop.  
2:00 - 2:30: Mouse licks the water drop with its tongue.  
2:30 - 3:00: Mouse continues to lick the water drop.  
3:00 - 4:45: Mouse remains stationary with paws on surface.  
7. 95%", 95%
8,8,22, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but there is no evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but there is no evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.  
6. 0:00 - 1:05: Mouse is stationary, paws resting on surface.  
1:06 - 1:10: Water drop forms and adheres to the spout.  
1:11 - 1:30: Mouse begins to move its right paw toward the water drop.  
1:31 - 1:40: Mouse’s right paw makes contact with the water drop.  
1:41 - 4:45: Mouse holds the water drop with its right paw and brings it to its mouth, but no tongue contact with the drop is observed. The mouse appears to lick the paw or the water drop while holding it, but no direct contact between the tongue and the drop is visible.  
7. 95%", 95%
9,9,59, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue. The water drop was not consumed, and no evidence of licking or drinking was observed. The mouse’s right paw touched the water drop, but the tongue did not make contact with it, and no water was ingested.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The water drop was not consumed, and no evidence of licking or drinking was observed. The mouse’s right paw touched the water drop, but the tongue did not make contact with it, and no water was ingested.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting.  
1:00 - 1:20: Water drop forms and remains attached to the spout.  
1:20 - 1:30: Mouse’s right paw lifts and moves toward the water drop.  
1:30 - 2:00: Mouse’s right paw touches the water drop.  
2:00 - 4:45: Mouse licks the water drop with its tongue, but the water drop is not consumed. The mouse’s tongue does not make physical contact with the water drop.  
7. 95%", 95%
