Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28,,,,,ucn,,,
1,25,,,,,ucn,,,
2,27,,,,,ucn,,,
3,32,,,,,ucn,,,
4,18, Yes, Yes, No,0.0,f, Failed,"1. Yes
2. Yes
3. No
4. 0%
5. Failed
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a water spout and grabbing the drop with his tongue. 28.9 - 70.4seconds, The mouse continues to drink the water while the camera watches. 70.4 - 111.0seconds, The mouse grabs the drop again and drinks it all up. 111.0 - 152.5seconds, The mouse grabs the drop once more and drinks it all up. 152.5 - 193.0seconds, The mouse grabs the drop one last time and drinks it all up. 193.0 - 224.5seconds, The mouse grabs the drop but lets it go. 224.5 - 275.0seconds, The mouse grabs the drop and drinks it all up. 275.0 - 286.5seconds, The mouse grabs the drop but lets it go. 
7. I am 100% confident in my results.", I am 100% confident in my results.
5,33,,,,,ucn,,,
6,61,,,,,ucn,,,
7,66,,,,,ucn,,,
8,22,,,,,ucn,,,
9,59,,,,,ucn,,,
10,41,,,,,ucn,,,
11,1,,,,,ucn,,,
12,16, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A close up of a mouse is seen sitting in front of a camera. 19.1 - 110.2seconds, The mouse is shown licking a water droplet off of a spout. 112.5 - 286.5seconds, The mouse continues to lick the droplet and drink it all up. 
7. I am 100% confident in my results.", I am 100% confident in my results.
13,37,,,,,ucn,,,
14,54,,,,,ucn,,,
15,39,,,,,ucn,,,
16,29,,,,,ucn,,,
17,49,,,,,ucn,,,
18,2,,,,,ucn,,,
19,56,,,,,ucn,,,
20,50,,,,,ucn,,,
21,60,,,,,ucn,,,
22,72,,,,,ucn,,,
23,36,,,,,ucn,,,
24,17,,,,,ucn,,,
25,40,,,,,ucn,,,
26,8,,,,,ucn,,,
27,6, Yes, Yes, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 10.8seconds, A close up of a mouse is seen sitting in front of a camera. 10.8 - 197.4seconds, The mouse then grabs a water droplet and begins to drink. 197.4 - 286.1seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
28,7,,,,,ucn,,,
29,35,,,,,ucn,,,
30,69,,,,,ucn,,,
31,30,,,,,ucn,,,
32,46,,,,,ucn,,,
33,42,,,,,ucn,,,
34,24, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 19.8 seconds, The mouse is sitting in a chair waiting for the water drop to fall. 19.8 - 27.5 seconds, The mouse grabs the water with his mouth and starts drinking it. 27.5 - 286.5 seconds, The mouse continues to drink the water until it is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
35,19, Yes, No, No,0.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. No
4. 0%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 19.5 - 110.1seconds, The mouse then grabs a water droplet with his mouth and drinks it. 110.1 - 286.2seconds, The mouse continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
36,11,,,,,ucn,,,
37,9,,,,,ucn,,,
38,15, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A close up of a mice is seen sitting in front of a camera. 9.0 - 191.1seconds, A droplet of water is shown dripping down and the mouse grabs it with his mouth. 193.3 - 286.4seconds, The mouse then drinks the water and looks back to the camera. 
7. 0.0 - 7.8seconds, A close up of a mice is seen sitting in front of a camera. 9.0 - 191.1seconds, A droplet of water is shown dripping down and the mouse grabs it with his mouth. 193.3 - 286.4seconds, The mouse then drinks the water and looks back to the camera."," 0.0 - 7.8seconds, A close up of a mice is seen sitting in front of a camera. 9.0 - 191.1seconds, A droplet of water is shown dripping down and the mouse grabs it with his mouth. 193.3 - 286.4seconds, The mouse then drinks the water and looks back to the camera."
39,43,,,,,ucn,,,
40,3,,,,,ucn,,,
41,13,,,,,ucn,,,
42,47,,,,,ucn,,,
43,45,,,,,ucn,,,
44,53,,,,,ucn,,,
45,20, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 19.8seconds, A close up of a mouse is seen sitting in front of a camera. 19.8 - 107.0seconds, A droplet of water hangs from a spout and the mouse watches it intently. 107.0 - 211.2seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 211.2 - 286.3seconds, The mouse continues to lick the drop until it is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
46,48,,,,,ucn,,,
47,14,,,,,ucn,,,
48,12,,,,,ucn,,,
49,23,,,,,ucn,,,
50,57,,,,,ucn,,,
51,52,,,,,ucn,,,
52,10,,,,,ucn,,,
53,0,,,,,ucn,,,
54,38,,,,,ucn,,,
55,26,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 101.3seconds, A droplet of water is shown dripping down and the mouse grabs it with his mouth. 102.0 - 286.1seconds, The mouse continues to drink the water while the camera watches on.",
56,55,,,,,ucn,,,
57,44,,,,,ucn,,,
