Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%).6. Time start - Time end: Event.0.0 - 286.7seconds, A mouse is sitting in a cage.1.9 - 286.7seconds, A metal spout drops a water drop for the mouse to get.2.0 - 286.7seconds, The mouse uses its paw to grab the drop and drink it.7. I am 100% confident in my results.",
1,77,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%).6. 0 - 80.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 79.9 - 179.2seconds, The mouse then grabs a water drop and drinks it. 179.2 - 286.3seconds, The mouse continues to drink the water while the camera watches.",
2,25,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 89.7seconds, A mouse is seen sitting in front of a spout with its tongue out and no water present. 89.7 - 177.3seconds, The mouse then grabs a water droplet and begins to drink. 177.3 - 286.2seconds, The mouse continues drinking the water while the camera watches on.",
3,27,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Successful: The mouse retrieved most of the water (more than 70%).6. 0.0 - 8.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 10.0 - 179.2seconds, The mouse then grabs a water drop and drinks it. 180.3 - 286.2seconds, The mouse continues to drink the water while the camera watches.7. I am 100% confident in my results.",
4,32,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%).6. 0 - 80.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 79.9 - 171.3seconds, The mouse then grabs a water drop and begins to eat it. 157.3 - 286.2seconds, The mouse continues to eat the water while the camera watches.",
5,18,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%).6. 0.0 - 17.8seconds, A close up of a mouse is seen sitting in front of a spout. 17.8 - 109.2seconds, The mouse then grabs a water drop and begins to drink. 109.2 - 286.3seconds, The mouse continues drinking while the camera watches on.",
6,61,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%).6. 0.0 - 8.7seconds, A mouse is seen sitting in front of a spout with its tongue out. 10.9 - 173.1seconds, The mouse then grabs a water drop and drinks it. 176.5 - 286.2seconds, The mouse continues to drink the water while the camera watches.7. I am 100% confident in my results.",
7,67, Yes, No, No,0.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. No
4. 0%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 8.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 10.0 - 190.1seconds, The mouse then grabs a water drop and drinks it. 191.2 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
8,66,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%).6. 0 - 80.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 79.9 - 179.2seconds, The mouse then grabs a water drop and begins to drink. 179.2 - 286.2seconds, The mouse continues drinking while the camera watches on.",
9,84,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 87.9seconds, A close up of a mouse is seen sitting in front of a camera and looking around. 87.9 - 179.4seconds, The mouse then grabs a piece of food and begins eating it. 179.4 - 286.2seconds, The mouse continues to eat while the camera watches on.",
