Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a water droplet. 19.4 - 103.2seconds, The mouse then grabs the droplet with his tongue and drinks it. 104.6 - 286.2seconds, The mouse continues to grab the droplet over and over again.",
1,25,,,,,ucn,,,
2,27,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a water droplet. 18.9 - 107.1seconds, The mouse then grabs the droplet with his tongue and drinks it. 107.1 - 286.1seconds, The mouse continues to drink the water as the camera watches.",
3,32, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 10.8seconds, A close up of a mice is seen sitting in front of a spout. 10.8 - 19.5seconds, The mice watches as a drop of water hangs from the spout. 19.5 - 27.6seconds, The mice then grabs the drop with his tongue and drinks it. 27.6 - 286.4seconds, The mice continues to do this over and over again. 
7. I am 100% confident in my results.", I am 100% confident in my results.
4,18,,,,,ucn,,,
5,33, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A close up of a mouse is seen sitting in front of a camera. 27.8 - 160.5seconds, A metal stick is seen dripping water onto the mouse and the mouse drinks it. 157.4 - 286.3seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,67, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 7.8seconds, A close up of a mouse is seen sitting in front of a water droplet. 9.3 - 210.2seconds, The mouse then grabs the droplet with his tongue and drinks it. 212.7 - 286.1seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
7,66,,,,,f,,"1. Yes
2. Yes
3. No
4. 0%
5. Failed
6. 0.0 - 19.8seconds, A close up of a mouse is seen sitting in front of a water droplet. 19.8 - 107.4seconds, The mouse then grabs the water with his tongue and drinks it. 107.4 - 286.3seconds, The mouse continues to drink the water while the camera watches.",
8,22,,,,,ucn,,,
9,59,,,,,ucn,,,
