Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,25,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%).6. 0 - 80.9seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 80.9 - 171.1seconds, The mouse then uses his tongue to lick the water off and drink it. 171.1 - 286.4seconds, The mouse continues drinking the water while the camera watches.",
1,27, Yes, No, No,0.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. No
4. 0%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 8.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 10.0 - 190.1seconds, The mouse then grabs a water droplet and drinks it. 191.2 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
2,18, Yes, No, No,0.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. No
4. 0%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 1.8seconds, A close up of a mouse is seen sitting in a cage. 1.9 - 19.3seconds, A droplet of water is shown hanging from a spout. 20.4 - 286.4seconds, The mouse then grabs the drop with his paw and drinks it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
3,33,,,,,ucn,,1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%).6. 0 - 8.9 seconds: The mouse is sitting in a cage with a metal spout above it. 9.7 - 18.2 seconds: A drop of water falls from the spout. 18.2 - 286.4 seconds: The mouse uses its tongue to lick the drop of water off the spout.7. I am 100% confident in my results.,
4,41, Yes, No, No,0.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. No
4. 0%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 19.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 19.8 - 103.2seconds, The mouse then grabs a water drop and drinks it. 103.2 - 286.2seconds, The mouse continues to grab more drops and drink them one by one. 
7. I am 100% confident in my results.", I am 100% confident in my results.
5,1, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 79.8seconds, A mouse is seen sitting in front of a spout with water dripping down. 80.9 - 179.1seconds, The mouse then grabs the drop with his tongue and pulls it into his mouth. 179.1 - 286.2seconds, He continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,16, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 19.1 - 111.7seconds, The mouse then grabs a water droplet and attempts to drink it. 113.0 - 286.4seconds, The mouse continues to grab the water and eat it while looking at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
7,51, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 1.7 seconds: A water drop is delivered to a metal spout. 1.8 - 29.2 seconds: The mouse uses its front paws to grab the water drop and drink it. 30.0 - 286.1 seconds: The mouse continues to drink the water drop.
7. I am 100% confident in my results.", I am 100% confident in my results.
8,39,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%).6. 0 - 80.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 80.9 - 170.2seconds, The mouse then grabs a water droplet and begins to drink. 170.2 - 286.2seconds, The mouse continues drinking until the drop is gone.",
9,29,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%).6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 17.8 - 109.2seconds, The mouse then grabs a water drop and begins to lick it. 109.2 - 286.6seconds, The mouse continues to grab more drops and drink them.",
10,49,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%).6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 17.8 - 109.2seconds, The mouse then grabs a water droplet and drinks it. 109.2 - 286.6seconds, The mouse continues to drink the water while the camera watches.",
