Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,25,,,,,ucn,,,
1,18, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 17.8 seconds, The mouse is sitting in a chair licking it's nose. 17.8 - 29.5 seconds, A water droplet is placed on the spout. 29.5 - 100.2 seconds, The mouse uses his tongue to lick the droplet off the spout and drinks it. 100.2 - 128.0 seconds, The mouse does this several times. 128.0 - 140.8 seconds, The mouse grabs the droplet with his paw and drinks it. 140.8 - 160.5 seconds, The mouse grabs the droplet with his paw and drinks it again. 160.5 - 175.4 seconds, The mouse grabs the droplet with his paw and drinks it once more. 175.4 - 186.2 seconds, The mouse grabs the droplet with his paw and drinks it again. 186.2 - 200.0 seconds, The mouse grabs the droplet with his paw and drinks it one last time. 200.0 - 287.2 seconds, The mouse grabs the droplet with his paw and drinks it again. 
7. I am 100% confident in my results.", I am 100% confident in my results.
2,84, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 19.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 20.7 - 110.8seconds, The mouse then grabs the water and drinks it. 111.7 - 286.6seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
3,16,,,,,ucn,,,
4,51,,,,,ucn,,,
5,78,,,,,ucn,,,
6,29,,,,,ucn,,,
7,91,,,,,ucn,,,
8,17, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with its tongue out. 19.4 - 113.2seconds, The mouse then grabs the water and drinks it. 113.9 - 286.2seconds, The mouse continues to drink while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
9,8,,,,,ucn,,,
10,79, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 19.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 20.7 - 111.2seconds, The mouse then grabs the water and drinks it. 112.1 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
11,6,,,,,ucn,,,
12,35,,,,,ucn,,,
