Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 27.2 - 161.2seconds, The mouse then grabs the drop with his mouth and begins to drink. 151.5 - 286.3seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,27, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 27.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 29.2 - 161.7seconds, The mouse then grabs a water droplet and begins to drink. 161.7 - 286.2seconds, The mouse continues drinking until all the water is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
2,32,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 18.7 - 109.2seconds, The mouse then uses his tongue to grab the water and drink it. 109.2 - 286.2seconds, He continues to do this several times while the camera watches.",
3,18, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 27.9seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 28.6 - 170.4seconds, The mouse then grabs the drop with his tongue and begins to drink. 169.8 - 287.2seconds, He continues drinking until the drop is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
4,33, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 19.8 seconds, The mouse is sitting in a chair licking his lips. 20.7 - 100.5 seconds, A drop of water is hanging from a metal spout. 101.4 - 180.2 seconds, The mouse reaches out and licks the drop of water off the spout. 181.1 - 286.1 seconds, The mouse continues to drink the water. 
7. 100%", 100%
5,61, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.7 seconds, The mouse is sitting in a chair licking his lips. 18.7 - 29.5 seconds, A water droplet is placed on a metal spout. 29.5 - 59.4 seconds, The mouse reaches out with its paw and grabs the droplet. 59.4 - 69.2 seconds, The mouse drinks the water. 69.2 - 79.0 seconds, The mouse licks its lips again. 79.0 - 89.9 seconds, The mouse grabs the droplet again and drinks it. 89.9 - 100.8 seconds, The mouse licks its lips again. 100.8 - 110.7 seconds, The mouse grabs the droplet again and drinks it. 110.7 - 120.6 seconds, The mouse licks its lips again. 120.6 - 130.5 seconds, The mouse grabs the droplet again and drinks it. 130.5 - 140.4 seconds, The mouse licks its lips again. 140.4 - 150.3 seconds, The mouse grabs the droplet again and drinks it. 150.3 - 160.2 seconds, The mouse licks its lips again. 160.2 - 170.1 seconds, The mouse grabs the droplet again and drinks it. 170.1 - 180.0 seconds, The mouse licks its lips again. 180.0 - 190.9 seconds, The mouse grabs the droplet again and drinks it. 190.9 - 200.8 seconds, The mouse licks its lips again. 200.8 - 210.7 seconds, The mouse grabs the droplet again and drinks it. 210.7 - 220.6 seconds, The mouse licks its lips again. 220.6 - 230.5 seconds, The mouse grabs the droplet again and drinks it. 230.5 - 240.4 seconds, The mouse licks its lips again. 240.4 - 250.3 seconds, The mouse grabs the droplet again and drinks it. 250.3 - 260.2 seconds, The mouse licks its lips again. 260.2 - 270.1 seconds, The mouse grabs the droplet again and drinks it. 270.1 - 280.0 seconds, The mouse licks its lips again. 280.0 - 290.9 seconds, The mouse grabs the droplet again and drinks it.
7. I am 100% confident in my results.", I am 100% confident in my results.
6,67, Yes, Yes, No,0.0,f, Failed,"1. Yes
2. Yes
3. No
4. 0%
5. Failed
6. 0.0 - 17.8 seconds, The mouse is sitting on a platform waiting for the water drop to be delivered. 17.8 - 27.9 seconds, A water drop is delivered to the spout in front of the mouse. 27.9 - 286.2 seconds, The mouse uses its right paw to grab the drop and drink it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
7,66,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 17.8 seconds, The mouse is sitting on a table licking his lips. 17.8 - 29.2 seconds, A water droplet is hanging from a metal spout. 29.2 - 40.0 seconds, The mouse reaches out and grabs the water with its tongue. 40.0 - 42.8 seconds, The mouse drinks the water. 42.8 - 47.6 seconds, The mouse licks its lips again. 47.6 - 50.4 seconds, The mouse grabs the water again and drinks it. 50.4 - 52.2 seconds, The mouse licks its lips again. 52.2 - 53.0 seconds, The mouse grabs the water again and drinks it. 53.0 - 54.8 seconds, The mouse licks its lips again. 54.8 - 55.6 seconds, The mouse grabs the water again and drinks it. 55.6 - 56.4 seconds, The mouse licks its lips again. 56.4 - 57.2 seconds, The mouse grabs the water again and drinks it. 57.2 - 58.0 seconds, The mouse licks its lips again. 58.0 - 58.8 seconds, The mouse grabs the water again and drinks it. 58.8 - 59.6 seconds, The mouse licks its lips again. 59.6 - 60.4 seconds, The mouse grabs the water again and drinks it. 60.4 - 61.2 seconds, The mouse licks its lips again. 61.2 - 62.0 seconds, The mouse grabs the water again and drinks it. 62.0 - 62.8 seconds, The mouse licks its lips again. 62.8 - 63.6 seconds, The mouse grabs the water again and drinks it. 63.6 - 64.4 seconds, The mouse licks its lips again. 64.4 - 65.2 seconds, The mouse grabs the water again and drinks it. 65.2 - 66.0 seconds, The mouse licks its lips again. 66.0 - 66.8 seconds, The mouse grabs the water again and drinks it. 66.8 - 67.6 seconds, The mouse licks its lips again. 67.6 - 68.4 seconds, The mouse grabs the water again and drinks it. 68.4 - 69.2 seconds, The mouse licks its lips again. 69.2 - 70.0 seconds, The mouse grabs the water again and drinks it. 70.0 - 70.8 seconds, The mouse licks its lips again. 70.8 - 71.6 seconds, The mouse grabs the water again and drinks it. 71.6 - 72.4 seconds, The mouse licks its lips again. 72.4 - 73.2 seconds, The mouse grabs the water again and drinks it. 73.2 - 74.0 seconds, The mouse licks its lips again. 74.0 - 74.8 seconds, The mouse grabs the water again and drinks it. 74.8 - 75.6 seconds, The mouse licks its lips again. 75.6 - 76.4 seconds, The mouse grabs the water again and drinks it. 76.4 - 77.2 seconds, The mouse licks its lips again. 77.2 - 78.0 seconds, The mouse grabs the water again and drinks it. 78.0 - 78.8 seconds, The mouse licks its lips again. 78.8 - 79.6 seconds, The mouse grabs the water again and drinks it. 79.6 - 80.4 seconds, The mouse licks its lips again. 80.4 - 81.2 seconds, The mouse grabs the water again and drinks it. 81.2 - 82.0 seconds, The mouse licks its lips again. 82.0 - 82.8 seconds, The mouse grabs the water again and drinks it. 82.8 - 83.6 seconds, The mouse licks its lips again. 83.6 - 84.4 seconds, The mouse grabs the water again and drinks it. 84.4 - 85.2 seconds, The mouse licks its lips again. 85.2 - 86.0 seconds, The mouse grabs the water again and drinks it. 86.0 - 86.8 seconds, The mouse licks its lips again. 86.8 - 87.6 seconds, The mouse grabs the water again and drinks it. 87.6 - 88.4 seconds, The mouse licks its lips again. 88.4 - 89.2 seconds, The mouse grabs the water again and drinks it. 89.2 - 90.0 seconds, The mouse licks its lips again. 90.0 - 90.8 seconds, The mouse grabs the water again and drinks it. 90.8 - 91.6 seconds, The mouse licks its lips again. 91.6 - 92.4 seconds, The mouse grabs the water again and drinks it. 92.4 - 93.2 seconds, The mouse licks its lips again. 93.2 - 94.0 seconds, The mouse grabs the water again and drinks it. 94.0 - 94.8 seconds, The mouse licks its lips again. 94.8 - 95.6 seconds, The mouse grabs the water again and drinks it. 95.6 - 96.4 seconds, The mouse licks its lips again. 96.4 - 97.2 seconds, The mouse grabs the water again and drinks it. 97.2 - 98.0 seconds, The mouse licks its lips again. 98.0 - 98.8 seconds, The mouse grabs the water again and drinks it. 98.8 - 99.6 seconds, The mouse licks its lips again. 99.6 - 100.4 seconds, The mouse grabs the water again and drinks it. 100.4 - 101.2 seconds, The mouse licks its lips again. 101.2 - 102.0 seconds, The mouse grabs the water again and drinks it. 102.0 - 102.8 seconds, The mouse licks its lips again. 102.8 - 103.6 seconds, The mouse grabs the water again and drinks it. 103.6 - 104.4 seconds, The mouse licks its lips again. 104.4 - 105.2 seconds, The mouse grabs the water again and drinks it. 105.2 - 106.0 seconds, The mouse licks its lips again. 106.0 - 106.8 seconds, The mouse grabs the water again and drinks it. 106.8 - 107.6 seconds, The mouse licks its lips again. 107.6 - 108.4 seconds, The mouse grabs the water again and drinks it. 108.4 - 109.2 seconds, The mouse licks its lips again. 109.2 - 110.0 seconds, The mouse grabs the water again and drinks it. 110.0 - 110.8 seconds, The mouse licks its lips again. 110.8 - 111.6 seconds, The mouse grabs the water again and drinks it. 111.6 - 112.4 seconds, The mouse licks its lips again. 112.4 - 113.2 seconds, The mouse grabs the water again and drinks it. 113.2 - 114.0 seconds, The mouse licks its lips again. 114.0 - 114.8 seconds, The mouse grabs the water again and drinks it. 114.8 - 115.6 seconds, The mouse licks its lips again. 115.6 - 116.4 seconds, The mouse grabs the water again and drinks it. 116.4 - 117.2 seconds, The mouse licks its lips again. 117.2 - 118.0 seconds, The mouse grabs the water again and drinks it. 118.0 - 118.8 seconds, The mouse licks its lips again. 118.8 - 119.6 seconds, The mouse grabs the water again and drinks it. 119.6 - 120.4 seconds, The mouse licks its lips again. 120.4 - 121.2 seconds, The mouse grabs the water again and drinks it. 121.2 - 122.0 seconds, The mouse licks its lips again. 122.0 - 122.8 seconds, The mouse grabs the water again and drinks it. 122.8 - 123.6 seconds, The mouse licks its lips again. 123.6 - 124.4 seconds, The mouse grabs the water again and drinks it. 124.4 - 125.2 seconds, The mouse licks its lips again. 125.2 - 126.0 seconds, The mouse grabs the water again and drinks it. 126.0 - 126.8 seconds, The mouse licks its lips again. 126.8 - 127.6 seconds, The mouse grabs the water again and drinks it. 127.6 - 128.4 seconds, The mouse licks its lips again. 128.4 - 129.2 seconds, The mouse grabs the water again and drinks it. 129.2 - 130.0 seconds, The mouse licks its lips again. 130.0 - 130.8 seconds, The mouse grabs the water again and drinks it. 130.8 - 131.6 seconds, The mouse licks its lips again. 131.6 - 132.4 seconds, The mouse grabs the water again and drinks it. 132.4 - 133.2 seconds, The mouse licks its lips again. 133.2 - 134.0 seconds, The mouse grabs the water again and drinks it. 134.0 - 134.8 seconds, The mouse licks its lips again. 134.8 - 135.6 seconds, The mouse grabs the water again and drinks it. 135.6 - 136.4 seconds, The mouse licks its lips again. 136.4 - 137.2 seconds, The mouse grabs the water again and drinks it. 137.2 - 138.0 seconds, The mouse licks its lips again. 138.0 - 138.8 seconds, The mouse grabs the water again and drinks it. 138.8 - 139.6 seconds, The mouse licks its lips again. 139.6 - 140.4 seconds, The mouse grabs the water again and drinks it. 140.4 - 141.2 seconds, The mouse licks its lips again. 141.2 - 142.0 seconds, The mouse grabs the water again and drinks it. 142.0 - 142.8 seconds, The mouse licks its lips again. 142.8 - 143.6 seconds, The mouse grabs the water again and drinks it. 143.6 - 144.4 seconds, The mouse licks its lips again. 144.4 - 145.2 seconds, The mouse grabs the water again and drinks it. 145.2 - 146.0 seconds, The mouse licks its lips again. 146.0 - 146.8 seconds, The mouse grabs the water again and drinks it. 146.8 - 147.6 seconds, The mouse licks its lips again. 147.6 - 148.4 seconds, The mouse grabs the water again and drinks it. 148.4 - 149.2 seconds, The mouse licks its lips again. 149.2 - 150.0 seconds, The mouse grabs the water again and drinks it. 150.0 - 150.8 seconds, The mouse licks its lips again. 150.8 - 151.6 seconds, The mouse grabs the water again and drinks it. 151.6 - 152.4 seconds, The mouse licks its lips again. 152.4 - 153.2 seconds, The mouse grabs the water again and drinks it. 153.2 - 154.0 seconds, The mouse licks its lips again. 154.0 - 154.8 seconds, The mouse grabs the water again and drinks it. 154.8 - 155.6 seconds, The mouse licks its lips again. 155.6 - 156.4 seconds, The mouse grabs the water again and drinks it. 156.4 - 157.2 seconds, The mouse licks its lips again. 157.2 - 158.0 seconds, The mouse grabs the water again and drinks it. 158.0 - 158.8 seconds, The mouse licks its lips again. 158.8 - 159.6 seconds, The mouse grabs the water again and drinks it. 159.6 - 160.4 seconds, The mouse licks its lips again. 160.4 - 161.2 seconds, The mouse grabs the water again and drinks it. 161.2 - 162.0 seconds, The mouse licks its lips again. 162.0 - 162.8 seconds, The mouse grabs the water again and drinks it. 162.8 - 163.6 seconds, The mouse licks its lips again. 163.6 - 164.4 seconds, The mouse grabs the water again and drinks it. 164.4 - 165.2 seconds, The mouse licks its lips again. 165.2 - 166.0 seconds, The mouse grabs the water again and drinks it. 166.0 - 166.8 seconds, The mouse licks its lips again. 166.8 - 167.6 seconds, The mouse grabs the water again and drinks it. 167.6 - 168.4 seconds, The mouse licks its lips again. 168.4 - 169.2 seconds, The mouse grabs the water again and drinks it. 169.2 - 170.0 seconds, The mouse licks its lips again. 170.0 - 170.8 seconds, The mouse grabs the water again and drinks it. 170.8 - 171.6 seconds, The mouse licks its lips again. 171.6 - 172.4 seconds, The mouse grabs the water again and drinks it. 172.4 - 173.2 seconds, The mouse licks its lips again. 173.2 - 174.0 seconds, The mouse grabs the water again and drinks it. 174.0 - 174.8 seconds, The mouse licks its lips again. 174.8 - 175.6 seconds, The mouse grabs the water again and drinks it. 175.6 - 176.4 seconds, The mouse licks its lips again. 176.4 - 177.2 seconds, The mouse grabs the water again and drinks it. 177.2 - 178.0 seconds, The mouse licks its lips again. 178.0 - 178.8 seconds, The mouse grabs the water again and drinks it. 178.8 - 179.6 seconds, The mouse licks its lips again. 179.6 - 180.4 seconds, The mouse grabs the water again and drinks it. 180.4 - 181.2 seconds, The mouse licks its lips again. 181.2 - 182.0 seconds, The mouse grabs the water again and drinks it. 182.0 - 182.8 seconds, The mouse licks its lips again. 182.8 - 183.6 seconds, The mouse grabs the water again and drinks it. 183.6 - 184.4 seconds, The mouse licks its lips again. 184.4 - 185.2 seconds, The mouse grabs the water again and drinks it. 185.2 - 186.0 seconds, The mouse licks its lips again. 186.0 - 186.8 seconds, The mouse grabs the water again and drinks it. 186.8 - 187.6 seconds, The mouse licks its lips again.",
8,22, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.7seconds, A mouse is seen sitting in a cage with its head fixed and a drop of water hanging from a metal spout. 19.4 - 113.3seconds, The mouse then uses his tongue to lick the water off the spout. 114.0 - 286.4seconds, The mouse continues licking the water while the camera captures him from several angles. 
7. 100%", 100%
9,59, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 78.9seconds, A mouse is seen sitting in front of a spout with its tongue out and paw up. 78.9 - 173.4seconds, The mouse then grabs the water droplet and puts it in his mouth. 173.4 - 286.1seconds, The mouse continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
