Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 27.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 28.6 - 161.2seconds, The mouse then grabs a water droplet with his tongue and begins to drink. 161.9 - 286.1seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,77,,,,,ucn,,,
2,25,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the edge. 28.9 - 171.4seconds, The mouse then uses his tongue to lick the water off and drink it. 171.4 - 279.2seconds, He continues to do this several times while the camera watches. 279.2 - 286.2seconds, In the end he grabs the last bit of water and swallows it.",
3,27, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 7.8 seconds: A water drop is delivered to the mouse's nose. 7.9 - 10.9 seconds: The mouse extends its tongue and touches the water drop. 11.0 - 286.2 seconds: The mouse drinks the water drop. 
7. I am 100% confident in my results.", I am 100% confident in my results.
4,32, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.9 seconds, The mouse is sitting in a chair licking his lips. 19.5 - 27.4 seconds, A water droplet is hanging from a spout. 28.0 - 288.9 seconds, The mouse reaches out and licks the droplet off the spout. 
7. I am 100% confident in my results.", I am 100% confident in my results.
5,18, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 10.9 - 23.2seconds, The mouse then grabs a water droplet and puts it in his mouth. 23.2 - 286.1seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,33, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 28.7seconds, A mouse is seen sitting in front of a spout with water dripping down. 29.4 - 171.2seconds, The mouse then uses his tongue to grab the drop and drink it. 172.6 - 286.2seconds, He continues to do this several times while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
7,61,,,,,ucn,,,
8,67, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a water spout and grabbing the water with his tongue. 18.7 - 109.2seconds, The mouse continues to drink the water while the camera watches. 109.2 - 286.3seconds, The mouse drinks the water several times and pauses in between. 
7. I am 100% confident in my results.", I am 100% confident in my results.
9,66,,,,,ucn,,,
10,84,,,,,ucn,,,
11,22, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 23.8seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 23.8 - 179.2seconds, The mouse then uses his tongue to lick the water off and drink it. 179.2 - 286.2seconds, He continues to do this several times while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
12,59,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 19.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the edge. 19.8 - 107.4seconds, The mouse then uses his tongue to grab the water and drink it. 107.4 - 286.3seconds, The mouse continues to do this over and over again.",
13,93,,,,,ucn,,,
