,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,0,0,28, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 101.2seconds, A droplet of water is shown on a spout and the mouse grabs it with his mouth. 102.6 - 286.4seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,1,1,1,25, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A close up of a mouse is seen sitting in front of a camera. 27.8 - 118.2seconds, A drop of water is shown on a stick and the mouse grabs it with his mouth. 118.2 - 286.2seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
2,2,2,2,27,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with water dripping down. 19.4 - 101.2seconds, The mouse then grabs the drop and drinks it all up. 102.6 - 286.9seconds, The mouse continues to drink the water while the camera watches.",
3,3,3,3,32, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.7: The mouse is head-fixed and a water drop is delivered to the spout. 29.3 - 286.0: The mouse uses its right paw to retrieve the water drop and drink it.
7. I am 100% confident in my results.", I am 100% confident in my results.
4,4,4,4,33, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A close up of a mouse is seen sitting in front of a camera. 19.5 - 110.8seconds, A droplet of water is shown on a spout and the mouse grabs it with his mouth. 111.5 - 286.6seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
5,5,5,5,61, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 18.9 - 107.9seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 107.9 - 286.1seconds, He continues to eat the ice while looking back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,6,6,6,67, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 19.2 - 110.4seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 111.5 - 286.7seconds, He continues to eat the water while looking up at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
7,7,7,7,66, Yes, No, Yes,50.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 50%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 18.9 - 103.6seconds, The mouse then grabs the water with his paw and puts it in his mouth. 103.6 - 286.7seconds, He continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
8,8,8,8,118,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A close up of a mouse is seen sitting in front of a camera. 27.8 - 109.1seconds, A drop of water is shown hanging from a string and the mouse grabs it with his mouth. 109.1 - 286.1seconds, The mouse then drinks the water while the camera watches.",
9,9,9,9,111, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 161.2seconds, A drop of water is shown hanging from a spout and the mouse grabs it with his mouth. 162.6 - 286.4seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
