Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 79.8seconds, A close up of a mouse is seen sitting in a cage with its head fixed in place. 80.9 - 171.1seconds, The mouse then attempts to grab a water droplet that is hanging from a string. 171.1 - 286.2seconds, The mouse grabs the droplet and drinks it all up.",
1,77,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.4 - 101.2seconds, The mouse then grabs a water droplet with his tongue and drinks it. 102.6 - 286.4seconds, The mouse continues to drink the water while the camera watches.",
2,25, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.7: The mouse is head-fixed and a water drop is delivered to the spout. 29.3 - 286.0: The mouse uses its right paw to grab the water drop and drink it.
7. I am 100% confident in my results.", I am 100% confident in my results.
3,27,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the end. 18.7 - 109.2seconds, The mouse then uses his tongue to grab the water and drink it. 109.2 - 286.2seconds, The mouse continues to do this several times while the camera watches.",
4,32,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.9 seconds, The mouse is seen sitting in a cage with its head fixed and a small water droplet hanging from a spout. 18.9 - 107.1 seconds, The mouse then uses his tongue to flick the water droplet off of the spout and into his mouth. 107.1 - 286.1 seconds, The mouse continues to do this several times until the drop is gone.",
5,18, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.3 - 110.2seconds, The mouse is then shown drinking water from a spout. 108.4 - 286.1seconds, The mouse continues to drink while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,33, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 27.9seconds, A mouse is seen sitting in front of a spout with water dripping down. 28.6 - 161.4seconds, The mouse then grabs the drop and drinks it. 162.1 - 288.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
7,61, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 87.9seconds, A close up of a mouse is seen sitting in a cage and looking off into the distance. 87.9 - 177.3seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 177.3 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
8,67, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.9 seconds, The mouse is seen sitting in front of a spout with water dripping down. 19.71 - 286.2 seconds, The mouse then uses his tongue to lick the water off and drink it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
9,66,,,,,ucn,,,
10,118,,,,,ucn,,,
11,84,,,,,ucn,,,
12,111, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A close up of a mouse is seen sitting in a cage. 19.0 - 120.5seconds, A drop of water is shown hanging from a spout and the mouse grabs it with his tongue. 122.7 - 286.2seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
13,22,,,,,ucn,,,
14,59, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in a cage. 17.8 - 113.2seconds, A drop of water is shown on a spout and the mouse drinks it. 113.2 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
15,4, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 27.2 - 160.4seconds, The mouse then uses his tongue to grab the water and drink it. 156.3 - 286.1seconds, The mouse continues drinking the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
16,41,,,,,ucn,,,
17,1, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 27.8seconds, A close up of a mouse is seen sitting in a cage. 29.0 - 171.8seconds, A drop of water is placed on a stick and the mouse tries to reach it. 173.0 - 286.2seconds, The mouse licks the water off the stick but does not drink any. 
7. I am 100% confident in my results.", I am 100% confident in my results.
18,16, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 20.8seconds, A close up of a mouse is seen sitting in a cage. 20.8 - 107.9seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 107.9 - 286.1seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
19,51, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 28.7: The mouse is head-fixed and can't move its head. 29.3 - 252.0: A water drop is delivered to the spout. 252.6 - 286.0: The mouse uses its tongue to retrieve the water drop and drink it.
7. I am 100% confident in my results.", I am 100% confident in my results.
20,37, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 19.8 seconds, The mouse is sitting in a chair. 20.71 - 285.98 seconds, A drop of water falls from a spout. 21.6 - 285.98 seconds, The mouse uses its paw to grab the drop and drinks it.
7. I am 100% confident in my results.", I am 100% confident in my results.
21,74, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.9 seconds, The mouse is seen sitting in a cage with his head fixed and a small water droplet hanging from a metal spout. 18.9 - 107.5 seconds, The mouse then uses his tongue to lick the water off of the spout. 107.5 - 286.2 seconds, He continues to do this until the water is gone. 
7. 99%", 99%
22,54,,,,,ucn,,,
23,115,,,,,ucn,,,
24,78,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 79.8seconds, A mouse is seen sitting in front of a spout with water dripping down. 80.9 - 211.2seconds, The mouse then grabs the drop and drinks it all up. 212.3 - 286.1seconds, The mouse continues to drink the water while the camera watches.",
25,82,,,,,ucn,,,
26,39, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 27.2 - 170.3seconds, The mouse then uses his tongue to grab the water and drink it. 168.5 - 286.4seconds, The mouse continues drinking the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
27,62, Yes, Yes, No,0.0,f, Failed,"1. Yes
2. Yes
3. No
4. 0%
5. Failed
6. 0.0 - 18.7 seconds, The mouse is sitting in a chair. 19.3 - 100.0 seconds, A drop of water is hanging from a stick. 100.6 - 110.2 seconds, The mouse licks the water off the stick. 110.8 - 120.4 seconds, The mouse grabs the water with his mouth and drinks it. 121.0 - 286.2 seconds, The mouse continues to drink the water.
7. 99%", 99%
28,29, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in a cage with its head fixed in place. 9.0 - 286.1seconds, A small drop of water is placed on a metal spout and the mouse tries to grab it with his tongue. 286.1 - 287.3seconds, The mouse fails to get any of the water. 
7. I am 100% confident in my results.", I am 100% confident in my results.
29,64,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with water dripping down. 18.9 - 170.3seconds, The mouse then uses his tongue to grab the water and drink it. 170.3 - 286.4seconds, The mouse continues to do this several times while the camera watches.",
30,68,,,,,ucn,,,
31,63, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7 seconds, The mouse is sitting in a machine licking his lips. 18.7 - 29.5 seconds, A drop of water is hanging from a metal spout. 29.5 - 59.2 seconds, The mouse reaches out and grabs the drop with his tongue. 59.2 - 82.2 seconds, He then drinks the water. 82.2 - 102.0 seconds, The mouse continues to lick his lips. 102.0 - 119.2 seconds, The drop of water is hanging again. 119.2 - 140.0 seconds, The mouse reaches out and grabs the drop with his tongue. 140.0 - 160.8 seconds, He then drinks the water. 160.8 - 180.7 seconds, The mouse continues to lick his lips. 180.7 - 201.5 seconds, The drop of water is hanging again. 201.5 - 222.3 seconds, The mouse reaches out and grabs the drop with his tongue. 222.3 - 242.1 seconds, He then drinks the water. 242.1 - 263.0 seconds, The mouse continues to lick his lips. 263.0 - 284.9 seconds, The drop of water is hanging again. 284.9 - 286.8 seconds, The mouse reaches out and grabs the drop with his tongue. 286.8 - 287.7 seconds, He then drinks the water.
7. I am 100% confident in my results.", I am 100% confident in my results.
32,113,,,,,ucn,,,
