Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 27.5 - 161.1seconds, The mouse then uses his tongue to lick the water off and into his mouth. 148.2 - 286.1seconds, The mouse continues to do this over and over again. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,77,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 78.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the end. 78.9 - 160.2seconds, The mouse then uses his tongue to grab the water and drink it. 160.2 - 286.1seconds, The mouse continues to do this several times while the camera watches.",
2,25,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 87.9seconds, A close up of a mouse is seen sitting in front of a camera and looking around. 87.9 - 170.1seconds, The mouse then grabs a hold of a water droplet and drinks it. 170.1 - 286.2seconds, The mouse continues to drink the water while the camera watches on.",
3,32, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 19.5 - 111.8seconds, A droplet of water is shown hanging from a string and the mouse grabs it with his mouth. 112.4 - 286.3seconds, The mouse then drinks the water and looks back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
4,18, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 17.9seconds, A mouse is seen sitting in front of a water droplet and grabbing it with his tongue. 18.5 - 112.1seconds, The mouse then grabs the water and puts it in his mouth. 113.5 - 286.7seconds, The mouse continues to grab the water and eat it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
5,33, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 7.8 - 286.9seconds, The mouse then uses his tongue to flick the water into his mouth and drinks it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,118, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.7: The mouse is head-fixed and a water drop is delivered to the spout. 29.3 - 100.0: The mouse reaches for the drop with its paw and brings it to its mouth. 100.6 - 286.7: The mouse drinks the water.
7. I am 100% confident in my results.", I am 100% confident in my results.
7,22, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 8.7seconds, A mouse is seen sitting in front of a spout with water dripping down. 9.1 - 180.3seconds, The mouse then grabs the water with his tongue and drinks it. 181.1 - 286.2seconds, He continues to drink until all the water is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
8,93, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with water dripping down. 19.4 - 100.2seconds, The mouse then uses his tongue to grab the water and drink it. 101.7 - 286.6seconds, The mouse continues to do this over and over again. 
7. I am 100% confident in my results.", I am 100% confident in my results.
9,4, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 19.5 - 112.6seconds, A droplet of water is shown on a spout and the mouse grabs it with his mouth. 113.2 - 286.3seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
10,1, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 19.5 - 109.2seconds, A droplet of water is shown hanging from a spout and the mouse grabs it with his mouth. 110.6 - 286.2seconds, The mouse then drinks the water and looks back to the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
11,16, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.8 - 113.0seconds, A droplet of water is shown hanging from a string and the mouse grabs it with his mouth. 113.0 - 286.1seconds, The mouse then drinks the water and looks back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
12,51, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8 seconds: A water drop is delivered to a head-fixed mouse. 8.0 - 286.9 seconds: The mouse attempts to reach the water drop with its tongue but fails to do so. 
7. I am 100% confident in my results.", I am 100% confident in my results.
13,74, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 29.4 - 171.3seconds, The mouse then uses his tongue to grab the water and drink it. 172.0 - 286.3seconds, The mouse continues to do this over and over again. 
7. I am 100% confident in my results.", I am 100% confident in my results.
14,78, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 19.5 - 110.2seconds, A droplet of water is shown hanging above the animal. 111.6 - 222.3seconds, The mouse then grabs the drop and drinks it. 223.7 - 286.5seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
15,103,,,,,f,,"1. Yes
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.9 - 110.2seconds, A droplet of water is shown hanging from a stick and the mouse licks it off. 108.2 - 286.2seconds, The mouse continues to lick the water off the stick while the camera watches.",
16,39, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A small rodent is seen sitting in front of a camera and looking off into the distance. 19.4 - 109.2seconds, A droplet of water is shown hanging above the animal. 110.6 - 286.4seconds, The animal then uses his tongue to lick the water off the pole. 
7. I am 100% confident in my results.", I am 100% confident in my results.
17,29,,,,,f,,"1. No
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 79.8seconds, A close up of a mouse is seen sitting in a cage with a small drop of water hanging from a spout. 79.8 - 172.4seconds, The mouse then attempts to grab the water but fails several times. 172.4 - 286.2seconds, The mouse continues to try and grab the water but never succeeds.",
18,100, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a water spout and looking up at the water. 17.8 - 109.2seconds, The mouse then attempts to grab the water with his tongue but fails. 109.2 - 286.3seconds, The mouse continues to try and grab the water but fails each time. 
7. 95%", 95%
