Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 78.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the end. 78.9 - 160.5seconds, The mouse then uses his tongue to grab the water and drink it. 160.5 - 286.3seconds, The mouse continues to do this several times while the camera watches.",
1,77,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 27.9seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 28.5 - 160.8seconds, The mouse then attempts to grab the water but fails. 161.4 - 286.2seconds, The mouse continues to try and grab the water but ends up not getting any.",
2,25, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 8.9seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 10.7 - 191.1seconds, The mouse then uses his tongue to lick the water off and eat it. 192.9 - 286.1seconds, He continues to do this over and over again. 
7. I am 100% confident in my results.", I am 100% confident in my results.
3,27, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with water dripping down. 19.1 - 117.2seconds, The mouse then uses his tongue to grab the water and drink it. 120.5 - 286.2seconds, The mouse continues drinking while the camera captures him from several angles. 
7. I am 100% confident in my results.", I am 100% confident in my results.
4,18, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 19.8seconds, A mouse is seen sitting in front of a spout with water dripping down. 19.8 - 107.4seconds, The mouse then grabs the drop and puts it in his mouth. 107.4 - 286.1seconds, He continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
5,33,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%).6. 0.0 - 19.8seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 19.8 - 107.2seconds, The mouse then uses his tongue to lick the water off the spout. 107.2 - 286.2seconds, He continues licking until he has the entire drop in his mouth and swallows.",
6,61,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the edge. 18.9 - 178.4seconds, The mouse then uses his tongue to lick the water off and drink it. 178.4 - 286.2seconds, He continues to do this several times while the camera watches.",
7,67, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 28.7seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 29.4 - 172.2seconds, The mouse then uses his tongue to grab the water and drink it. 173.7 - 279.2seconds, He continues drinking until all the water is gone. 280.7 - 286.2seconds, He then puts the drop back on the spout. 
7. 100%", 100%
8,66,,,,,f,,"1. Yes
2. Yes
3. No
4. 0%
5. Failed
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the end. 19.4 - 103.3seconds, The mouse then uses his tongue to grab the water and drink it. 104.0 - 286.2seconds, The mouse continues to do this several times while the camera watches.",
9,84, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 19.8seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 19.8 - 107.2seconds, The mouse then uses his tongue to lick the water off the spout. 107.2 - 286.2seconds, He continues licking until he has the entire drop in his mouth. 
7. 99%", 99%
