Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 89.7seconds, A mouse is seen sitting in a dark room and grabbing a water droplet with his mouth. 89.7 - 171.5seconds, The mouse then drinks the water while the camera watches. 171.5 - 286.4seconds, The mouse continues to drink the water and ends by looking up at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,25, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in a dark room with his head fixed. 19.2 - 100.5seconds, A drop of water is placed on a metal spout and the mouse grabs it with his paw. 101.9 - 286.3seconds, He then drinks the water using his tongue.
7. I am 100% confident in my results.", I am 100% confident in my results.
2,32, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 117.0 seconds, Stay in position and wait for the order to start. 118.0 - 286.0 seconds, Take out the tongue to taste. 
7. I am 100% confident in my results.", I am 100% confident in my results.
3,18, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8: The mouse is head fixed and can't move its head. 18.4 - 286.9: The mouse uses its right paw to grab the water drop and bring it to its mouth. 
7. I am 100% confident in my results.", I am 100% confident in my results.
4,33, No, Yes, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. No
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 8.7seconds, A mouse is seen sitting in a dark room. 10.9 - 286.2seconds, The mouse then attempts to reach for a drop of water but fails. 
7. I am 100% confident in my results.", I am 100% confident in my results.
5,67, No, Yes, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. No
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.9seconds, A mouse is seen sitting in a dark room with its front paws out. 18.5 - 103.1seconds, A drop of water is shown on a spout and the mouse attempts to get it. 103.1 - 286.3seconds, The mouse moves his paws around but never gets the water. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,118,,,,,ucn,,,
7,84,,,,,ucn,,,
8,22, No, Yes, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. No
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8: The mouse is head fixed and can't move its head. 18.5 - 286.9: The mouse is trying to reach the water drop with its right paw. 287.5 - 286.9: The mouse is drinking the water drop.
7. I am 100% confident in my results.", I am 100% confident in my results.
9,41, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in a dark room with its head fixed. 19.2 - 110.4seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 111.8 - 286.4seconds, The mouse then drinks the water while the camera watches.
7. I am 100% confident in my results.", I am 100% confident in my results.
