,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,0,0,25, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 27.4 - 162.4seconds, The mouse then uses his tongue to grab the water and bring it to his mouth. 158.4 - 286.2seconds, He continues to do this several times while the camera captures his movements. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,1,1,1,27,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A close up of a mouse is seen sitting in front of a spout with a drop of water hanging off. 27.3 - 117.3seconds, The mouse then grabs the drop with his tongue and begins to drink. 117.3 - 286.1seconds, The mouse continues drinking until the drop is gone.",
2,2,2,2,32, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A small mouse is seen sitting in front of a camera and looking off into the distance. 19.5 - 110.5seconds, A droplet of water is shown on a spout and the mouse grabs it with his tongue. 111.2 - 286.4seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
3,3,3,3,18, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 17.8 - 111.1seconds, The mouse then grabs a water droplet and attempts to drink it. 111.1 - 286.1seconds, The mouse continues to grab the water and eat it while looking back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
4,4,4,4,4, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 7.8 - 19.5seconds, The mouse then uses his tongue to lick the drop of water off the spout. 19.5 - 286.2seconds, The mouse continues licking the water and drinking it all up. 
7. I am 100% confident in my results.", I am 100% confident in my results.
5,5,5,5,1, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 19.4 - 111.2seconds, The mouse then uses his tongue to lick the water off the spout. 111.9 - 286.7seconds, He continues licking the water off the spout while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,6,6,6,16, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.5 - 111.1seconds, The mouse then uses his tongue to lick the water off the spout. 112.5 - 286.3seconds, He continues licking until he has no more water to drink. 
7. I am 100% confident in my results.", I am 100% confident in my results.
7,7,7,7,29, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 19.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 19.8 - 175.2seconds, The mouse then uses his tongue to grab the water and drink it. 175.2 - 286.2seconds, The mouse continues to do this over and over again. 
7. I am 100% confident in my results.", I am 100% confident in my results.
8,8,8,8,36, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 19.5 - 103.8seconds, A metal stick is shown dripping water onto a surface. 104.4 - 286.2seconds, The mouse then grabs the water with his tongue and drinks it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
9,9,9,9,17, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 7.8 - 19.2seconds, The mouse then uses his tongue to grab the water and drink it. 19.2 - 286.4seconds, The mouse continues to do this over and over again. 
7. I am 100% confident in my results.", I am 100% confident in my results.
10,10,10,10,8, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.6 - 110.3seconds, The mouse then uses his tongue to lick the water off the spout. 111.0 - 286.2seconds, He continues licking until he has the entire drop in his mouth and swallows. 
7. I am 100% confident in my results.", I am 100% confident in my results.
11,11,11,11,6, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in a cage with its head fixed in place. 19.4 - 107.2seconds, A metal spout appears and the mouse grabs it with his mouth. 108.6 - 286.3seconds, The mouse then drinks the water that is on the spout. 
7. I am 100% confident in my results.", I am 100% confident in my results.
12,12,12,12,7, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in a cage with its head fixed in place. 9.0 - 286.2seconds, A metal spout appears and the mouse drinks the water. 286.2 - 287.4seconds, The mouse then grabs the water with his mouth and pulls it into his mouth. 
7. I am 100% confident in my results.", I am 100% confident in my results.
