Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 8.9 seconds: A water drop is seen falling from a spout. 9.0 - 17.9 seconds: The mouse uses its paw to grab the drop and bring it to its mouth. 18.0 - 286.9 seconds: The mouse drinks the water. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,25, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 8.9seconds, A close up of a mouse is seen with a droplet of water hanging from a spout. 10.7 - 170.2seconds, The mouse then uses his tongue to grab the drop and drink it. 171.0 - 286.4seconds, The mouse continues to do this several times while the camera captures him. 
7. I am 100% confident in my results.", I am 100% confident in my results.
2,27, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 8.7seconds, A close up of a mouse is seen with a droplet of water hanging from a spout. 9.1 - 190.4seconds, The mouse then grabs the water with his tongue and drinks it. 191.8 - 286.4seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
3,32,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%).6. 0.0 - 10.8seconds, A close up of a mice is seen with a droplet of water hanging from a spout. 10.8 - 17.9seconds, The mice then grabs the drop with his paw and puts it in his mouth. 17.9 - 286.7seconds, The mice continues to drink the water while the camera watches.",
4,18,,,,,ucn,,"1. Yes2. No3. Yes4. 100%5. Successful6. 0.0 - 10.8seconds, A mouse is seen sitting in a cage with its head fixed in place. 11.9 - 179.2seconds, A small water droplet is shown dripping from a spout and the mouse moves his tongue to catch it. 181.3 - 286.4seconds, The mouse then drinks the water and looks back at the camera.",
5,33,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%).6. 0.0 - 7.8seconds, A close up of a mice's face is seen followed by a drop of water being placed on a spout. 7.8 - 19.2seconds, The mice then uses his tongue to grab the water and drink it. 19.2 - 286.1seconds, The mice continues to do this over and over again while the camera captures him.",
6,61,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in a cage with a droplet hanging from a spout. 18.9 - 107.1seconds, The mouse then grabs the drop with his tongue and drinks it. 107.1 - 286.1seconds, The mouse continues to drink the water as the camera watches.",
7,67,,,,,f,,"1. No
2. Yes
3. No
4. 0%
5. Failed
6. 0.0 - 28.9seconds, A mouse is seen sitting in a cage with its head fixed in place. 27.3 - 159.7seconds, A metal spout appears and the mouse attempts to reach for the water drop. 159.7 - 286.1seconds, The mouse continues to try and grab the water but fails.",
8,66,,,,,f,,"1. No
2. Yes
3. No
4. 0%
5. Failed
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a small spout with water dripping down. 18.7 - 119.2seconds, The mouse watches the water drop and attempts to lick it but fails. 119.2 - 286.1seconds, The mouse continues to attempt to drink the water but never succeeds.",
9,4,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0 - 87.9seconds, A close up of a mouse is seen sitting in a cage with a small water droplet hanging from a spout. 87.9 - 173.1seconds, The mouse then attempts to grab the water but fails several times. 173.1 - 286.1seconds, The mouse eventually grabs the water and drinks it all up.",
