Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with water dripping down. 19.2 - 112.1seconds, The mouse then grabs the drop with his paws and puts it in his mouth. 113.5 - 286.5seconds, He continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,25, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 78.9seconds, A mouse is seen sitting in front of a spout with water dripping down. 79.5 - 212.3seconds, The mouse then grabs the water with his paws and drinks it. 213.9 - 286.6seconds, The mouse continues to drink the water while the camera watches. 
7. 100%", 100%
2,27, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 27.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 28.6 - 160.1seconds, The mouse then grabs a water droplet and attempts to drink it. 161.5 - 286.4seconds, The mouse continues to grab the droplet but never drinks any of it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
3,32, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0 - 89.7seconds, A mouse is seen sitting in front of a spout with water dripping down. 90.4 - 211.1seconds, The mouse then grabs the water with his paws and drinks it. 211.8 - 286.3seconds, He continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
4,18, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 8.7 seconds: The mouse is seen sitting in front of a spout with water dripping from it. 9.1 - 18.4 seconds: The mouse uses its tongue to lick the water off the spout. 18.8 - 286.2 seconds: The mouse continues to lick the water off the spout. 
7. I am 100% confident in my results.", I am 100% confident in my results.
5,33, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with water dripping down. 19.1 - 111.1seconds, The mouse then grabs the drop with his paws and puts it in his mouth. 113.3 - 286.2seconds, He continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,61, Yes, No, Yes,0.0,f, Failed,"1. Yes
2. No
3. Yes
4. 0%
5. Failed
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 19.2 - 113.2seconds, The mouse then grabs the water and drinks it. 120.9 - 286.2seconds, The mouse continues to drink while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
7,22, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with water dripping down. 19.0 - 110.5seconds, The mouse then grabs the drop with his paws and puts it in his mouth. 111.7 - 286.3seconds, He continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
8,4, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 10.9 - 179.1seconds, The mouse then grabs a water drop and attempts to drink it. 182.2 - 286.4seconds, The mouse fails to do so and ends up dropping the water. 
7. I am 100% confident in my results.", I am 100% confident in my results.
9,41, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 8.7seconds, A mouse is seen sitting in front of a spout with its tongue out. 9.1 - 180.2seconds, The mouse then grabs the water and drinks it. 181.6 - 286.4seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
