,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence,avg_mse,min_mse,max_mse,avg_psnr,min_psnr,max_psnr
0,0,28, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.
6. 0:00 - 1:00: The mouse is stationary with its paws on the surface.
1:00 - 1:10: The mouse's right paw lifts and moves towards the spout.
1:10 - 1:20: The mouse's right paw touches the water drop on the spout.
1:20 - 1:30: The mouse's tongue makes physical contact with the water drop.
1:30 - 2:00: The mouse continues to lick the water drop, consuming it.
2:00 - 2:30: The mouse finishes drinking the water drop.
7. 95%", 95%,6.63304693702323,6.065807682682682,7.747078328328328,39.92093384551647,39.23942413860939,40.30191724044884
1,1,77, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating the mouse consumed the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating the mouse consumed the entire drop.  
6. 0:00 - 1:30: The mouse is stationary, with both paws resting on the surface.  
   1:30 - 2:00: The mouse lifts its right paw and moves it toward the spout.  
   2:00 - 2:30: The right paw makes contact with the water drop, and the mouse begins to lick the water.  
   2:30 - 3:00: The mouse continues to lick the water, with the tongue making contact with the water drop.  
   3:00 - 3:30: The mouse finishes drinking, and the water drop is no longer visible.  
7. 95%", 95%,6.487146057695626,5.628611111111111,7.203938313313313,40.01774435308653,39.55510375529734,40.62679117205556
2,2,25, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made clear physical contact with the water, indicating full consumption. The drop was fully transferred to the mouth, and no water was spilled.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made clear physical contact with the water, indicating full consumption. The drop was fully transferred to the mouth, and no water was spilled.  
6. 0:00 - 1:30: The mouse remains stationary with both paws on the surface.  
1:31 - 1:40: The mouse lifts its right paw and moves it toward the spout.  
1:41 - 1:50: The right paw makes contact with the water drop, and the tongue extends to lick the water.  
1:51 - 4:45: The mouse continues to lick the water, consuming it completely.  
7. 95%", 95%,6.736938145041594,6.009893018018018,7.944064689689689,39.85130452839197,39.13037588842207,40.34213619663501
3,3,27, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, and the tongue made clear physical contact with the water. The water drop was fully consumed, as evidenced by the complete disappearance of the drop and the mouse's licking behavior. There is no visual evidence of spillage or incomplete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, and the tongue made clear physical contact with the water. The water drop was fully consumed, as evidenced by the complete disappearance of the drop and the mouse's licking behavior. There is no visual evidence of spillage or incomplete retrieval.  
6. 0:00 - 1:40: The mouse remains stationary with both paws on the surface.  
1:40 - 2:00: The mouse lifts its right paw and moves it toward the spout.  
2:00 - 2:20: The right paw makes contact with the water drop, and the mouse begins to lick the water.  
2:20 - 4:45: The mouse continues to lick the water, and the drop is fully consumed.  
7. 95%", 95%,6.750076315539678,5.9204717217217215,8.277667667667668,39.84679669845308,38.95172374535875,40.40724049756641
4,4,32, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made clear contact with the water, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made clear contact with the water, indicating full consumption.  
6. 0:00 - 1:40: The mouse remains stationary with both paws on the surface.  
   1:40 - 1:45: The mouse lifts its right paw toward the spout.  
   1:45 - 1:50: The right paw makes contact with the water drop.  
   1:50 - 4:45: The mouse uses its tongue to lick the water from its paw, consuming the entire drop.  
7. 95%", 95%,6.813873366901384,5.868180055055055,7.723849474474474,39.803225151476326,39.25246559385892,40.44576929909827
5,5,18, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, indicating full consumption.  
6. 0:00 - 1:10: Mouse remains stationary with paws on the surface.  
1:11 - 1:20: Water drop appears on the spout.  
1:21 - 1:30: Mouse lifts its right paw and moves it toward the water drop.  
1:31 - 1:40: Right paw makes contact with the water drop.  
1:41 - 2:00: Mouse brings the water drop to its mouth and begins licking.  
2:01 - 4:45: Mouse continues to lick the water drop, consuming it completely.  
7. 95%", 95%,6.207643624227677,5.509440065065065,7.135974724724725,40.20957839627064,39.59627057747044,40.71972897952478
6,6,33, Yes, Yes, No,100.0,s," Classification: Successful  
Justification: The mouse's right paw reached the water drop, which was fully detached from the spout and brought into the mouth. The tongue made direct contact with the water, and the mouse consumed the entire drop, as evidenced by the complete disappearance of the water and no residual droplet remaining.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Classification: Successful  
Justification: The mouse's right paw reached the water drop, which was fully detached from the spout and brought into the mouth. The tongue made direct contact with the water, and the mouse consumed the entire drop, as evidenced by the complete disappearance of the water and no residual droplet remaining.  
6. Timeline of key events:  
0:00 - 1:38: The mouse remains stationary with both paws on the platform, no water drop visible.  
1:39 - 1:45: A water drop forms on the spout and remains attached.  
1:46 - 2:00: The mouse lifts its right paw and moves it toward the water drop.  
2:01 - 2:05: The right paw makes contact with the water drop, detaching it from the spout.  
2:06 - 2:10: The mouse brings the water drop toward its mouth.  
2:11 - 2:15: The tongue makes contact with the water drop, and the mouse begins to consume it.  
2:16 - 4:45: The mouse continues to lick and consume the water drop, with the drop gradually diminishing until it is fully consumed.  
4:46 - 4:46: The water drop is completely consumed, and no residual water is visible.  
7. Confidence: 95%", Confidence: 95%,6.609011543871457,6.093444069069069,7.715269644644644,39.934640627699366,39.25729251838175,40.28217531714597
7,7,61, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed.  
6. 0:00 - 1:58: The mouse is stationary, with both paws resting on the surface.  
1:59 - 2:02: The mouse lifts its right paw and moves it toward the spout.  
2:03 - 2:05: The mouse's right paw makes contact with the water drop, but the drop does not detach.  
2:06 - 2:10: The mouse attempts to bring the water drop closer to its mouth but fails to retrieve it.  
2:11 - 4:45: The mouse continues to manipulate the water drop with its right paw, but the drop remains attached to the spout.  
4:46 - 4:48: The mouse retracts its right paw and returns to its initial position.  
7. 95%", 95%,6.780932462635049,6.018582332332333,7.752172172172172,39.82366891381405,39.23656951237745,40.33586154950849
8,8,67, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made clear contact with the water, indicating full consumption. The drop was fully transferred to the mouth, and no water remained on the spout.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made clear contact with the water, indicating full consumption. The drop was fully transferred to the mouth, and no water remained on the spout.  
6. 0:00 - 1:20: The mouse remains stationary with both paws on the surface.  
1:21 - 1:30: The mouse lifts its right paw and moves it toward the spout.  
1:31 - 1:40: The right paw makes contact with the water drop, and the drop adheres to the paw.  
1:41 - 4:40: The mouse brings the paw to its mouth and licks the water drop, consuming it completely.  
7. 95%", 95%,6.819834899554728,6.213190065065065,8.703434684684686,39.80815793469135,38.73389686383203,40.19765721733081
9,9,66, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, consuming it entirely.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, consuming it entirely.  
6. 0:00 - 1:58: The mouse remains stationary with both paws on the surface.  
1:59 - 2:02: The mouse lifts its right paw and moves it toward the spout.  
2:03 - 2:06: The right paw makes contact with the water drop, and the drop adheres to the paw.  
2:07 - 4:45: The mouse brings the water drop to its mouth and licks it, consuming the entire drop.  
7. 95%", 95%,6.994357903161783,6.197074574574574,8.536594094094093,39.69110633279904,38.817957291927605,40.20893638458532
