,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28,,,,,f,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paws did not bring the drop close to the mouth.  
6. 0:00 - 1:00: The mouse is stationary, with its paws resting on the surface.  
1:00 - 1:20: The water drop forms and remains attached to the spout.  
1:20 - 1:40: The mouse lifts its right paw and moves it toward the spout.  
1:40 - 2:00: The mouse's right paw approaches the water drop but does not make contact.  
2:00 - 2:20: The mouse's right paw touches the water drop, but the drop does not detach.  
2:20 - 2:40: The mouse attempts to retrieve the water drop with its right paw, but the drop remains attached to the spout.  
2:40 - 3:00: The mouse continues to attempt to retrieve the water drop with its right paw, but the drop remains attached to the spout.  
3:00 - 3:20: The mouse's right paw moves away from the spout, and the water drop remains attached.  
3:20 - 3:40: The mouse's right paw returns to the spout, but the water drop remains attached.  
3:40 - 4:00: The mouse's right paw attempts to retrieve the water drop again, but the drop remains attached.  
4:00 - 4:20: The mouse's right paw moves away from the spout, and the water drop remains attached.  
4:20 - 4:40: The mouse's right paw returns to the spout, but the water drop remains attached.  
4:40 - 5:00: The mouse's right paw attempts to retrieve the water drop again, but the drop remains attached.  
5:00 - 5:20: The mouse's right paw moves away from the spout, and the water drop remains attached.  
5:20 - 5:40: The mouse's right paw returns to the spout, but the water drop remains attached.  
5:40 - 6:00: The mouse's right paw attempts to retrieve the water drop again, but the drop remains attached.  
6:00 - 6:20: The mouse's right paw moves away from the spout, and the water drop remains attached.  
6:20 - 6:40: The mouse's right paw returns to the spout, but the water drop remains attached.  
6:40 - 7:00: The mouse's right paw attempts to retrieve the water drop again, but the drop remains attached.  
7:00 - 7:20: The mouse's right paw moves away from the spout, and the water drop remains attached.  
7:20 - 7:40: The mouse's right paw returns to the spout, but the water drop remains attached.  
7:40 - 8:00: The mouse's right paw attempts to retrieve the water drop again, but the drop remains attached.  
8:00 - 8:20: The mouse's right paw moves away from the spout, and the water drop remains attached.  
8:20 - 8:40: The mouse's right paw returns to the spout, but the water drop remains attached.  
8:40 - 9:00: The mouse's right paw attempts to retrieve the water drop again, but the drop remains attached.  
9:00 - 9:20: The mouse's right paw moves away from the spout, and the water drop remains attached.  
9:20 - 9:40: The mouse's right paw returns to the spout, but the water drop remains attached.  
9:40 - 10:00: The mouse's right paw attempts to retrieve the water drop again, but the drop remains attached.  
10:00 - 10:20: The mouse's right paw moves away from the spout, and the water drop remains attached.  
10:20 - 10:40: The mouse's right paw returns to the spout, but the water drop remains attached.  
10:40 - 11:00: The mouse's right paw attempts to retrieve the water drop again, but the",
1,1,25, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.  
6. 0:00 - 1:00: The mouse is stationary, with both paws on the surface.  
1:00 - 1:10: The water drop forms and remains attached to the spout.  
1:10 - 1:20: The mouse lifts its right paw and moves it toward the spout.  
1:20 - 1:30: The mouse's right paw touches the water drop, but the drop does not detach.  
1:30 - 1:40: The mouse attempts to bring the drop to its mouth but fails to make contact.  
1:40 - 2:00: The mouse continues to attempt to retrieve the water drop but does not succeed.  
2:00 - 2:10: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
2:10 - 2:20: The mouse remains stationary, with no further attempts to retrieve the water drop.  
7. 95%", 95%
2,2,27, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not reach the spout to bring the drop to the mouth. The water drop remained on the spout and was not consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not reach the spout to bring the drop to the mouth. The water drop remained on the spout and was not consumed.  
6. 0:00 - 1:50: Mouse remains stationary with paws on the edge.  
1:51 - 2:00: Mouse lifts its right paw toward the spout.  
2:01 - 2:10: Mouse's right paw touches the water drop, but the drop does not detach.  
2:11 - 2:20: Mouse attempts to lick the drop with its tongue, but no contact is made.  
2:21 - 4:45: Mouse continues to attempt to reach the drop with its paw and tongue, but no water is retrieved.  
7. 95%", 95%
3,3,18, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not consumed.  
6. 0:00 - 1:45: The mouse is stationary, with both paws resting on the surface. No water drop is visible.  
1:46 - 2:00: The water drop appears on the spout. The mouse remains still, with no paw movement.  
2:01 - 2:15: The mouse lifts its right paw and moves it toward the spout. The paw approaches the water drop but does not touch it.  
2:16 - 2:30: The mouse retracts its paw without making contact with the water drop.  
2:31 - 4:45: The mouse remains stationary, with no further interaction with the water drop. The drop remains on the spout.  
7. 95%", 95%
4,4,61, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paws did not bring the drop to the mouth. The water drop remained on the spout and was not consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paws did not bring the drop to the mouth. The water drop remained on the spout and was not consumed.  
6. 0:00 - 1:40: The mouse is stationary with both paws on the platform, head fixed, and no water drop visible.  
1:41 - 1:45: The water drop appears on the spout, and the mouse remains still.  
1:46 - 2:00: The mouse lifts its right paw and moves it toward the spout but does not touch the water drop.  
2:01 - 2:10: The mouse retracts its paw without making contact with the water drop.  
2:11 - 4:45: The mouse remains in the same position, with no further attempts to reach the water drop.  
7. 95%", 95%
5,5,67, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained attached to the spout, and the mouse did not retrieve it.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained attached to the spout, and the mouse did not retrieve it.  
6. 0:00 - 1:58: The mouse is positioned in front of the spout, with its paws resting on the surface. 1:59 - 2:08: The mouse lifts its right paw and moves it toward the spout. 2:09 - 2:15: The mouse's right paw touches the water drop, but the drop remains attached to the spout. 2:16 - 2:20: The mouse's right paw moves away from the spout without retrieving the water drop. 2:21 - 4:45: The mouse continues to attempt to retrieve the water drop, but no physical contact is made between the tongue and the drop.  
7. 95%", 95%
6,6,66, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's right paw did not move toward the spout, and no physical contact was observed between the tongue and the water drop. The water drop remained attached to the spout throughout the trial, and no licking or retrieval behavior was observed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's right paw did not move toward the spout, and no physical contact was observed between the tongue and the water drop. The water drop remained attached to the spout throughout the trial, and no licking or retrieval behavior was observed.  
6. 0:00 - 4:45: The mouse remains stationary with its paws on the platform and its head fixed. No movement of the right paw toward the spout is observed. The water drop remains attached to the spout. No tongue contact with the water drop occurs.  
7. 95%", 95%
7,7,118,,,,,f,,"1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the mouse's paws did not bring the drop to its mouth. The water drop remained on the spout and was not retrieved.  
6. 0:00 - 1:18: The mouse is stationary, with both paws resting on the surface.  
1:19 - 1:59: The water drop forms and remains attached to the spout.  
2:00 - 2:18: The mouse lifts its right paw and moves it toward the spout.  
2:19 - 2:30: The mouse's right paw touches the water drop, but the drop does not detach.  
2:31 - 2:40: The mouse attempts to retrieve the water drop with its right paw, but the drop remains on the spout.  
2:41 - 3:00: The mouse continues to manipulate the water drop with its right paw, but the drop does not detach.  
3:01 - 3:20: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
3:21 - 3:40: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
3:41 - 4:00: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
4:01 - 4:20: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
4:21 - 4:40: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
4:41 - 5:00: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
5:01 - 5:20: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
5:21 - 5:40: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
5:41 - 6:00: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
6:01 - 6:20: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
6:21 - 6:40: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
6:41 - 7:00: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
7:01 - 7:20: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
7:21 - 7:40: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
7:41 - 8:00: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
8:01 - 8:20: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
8:21 - 8:40: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
8:41 - 9:00: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
9:01 - 9:20: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
9:21 - 9:40: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
9:41 - 10:00: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
10:01 - 10:20: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
10:21 - 10:40: The mouse's right paw moves away from the spout, and the water drop remains on the sp",
8,8,84, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paws did not bring the drop to the mouth. The water drop remained on the spout and was not consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paws did not bring the drop to the mouth. The water drop remained on the spout and was not consumed.  
6. 0:00 - 2:05: The mouse is stationary with both paws on the surface.  
2:06 - 2:10: The mouse lifts its right paw.  
2:11 - 2:15: The mouse lifts its left paw.  
2:16 - 2:20: The mouse brings both paws together in front of its mouth.  
2:21 - 4:45: The mouse holds both paws together in front of its mouth without any water drop visible.  
7. 95%", 95%
9,9,111, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.  
6. 0:00 - 1:55: The mouse remains stationary with both paws on the surface.  
1:56 - 2:10: The mouse lifts its right paw and moves it toward the spout.  
2:11 - 2:15: The right paw touches the water drop, but the drop does not detach.  
2:16 - 4:45: The mouse attempts to bring the drop to its mouth but fails to retrieve it.  
7. 95%", 95%
