,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was transferred to its mouth. The tongue did not touch the drop, and the paw did not bring the drop close enough for consumption. There is no visual evidence of any water being retrieved or ingested.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was transferred to its mouth. The tongue did not touch the drop, and the paw did not bring the drop close enough for consumption. There is no visual evidence of any water being retrieved or ingested.  
6. 0:00 - 1:20: Mouse remains stationary, head fixed, paws resting on the surface.  
1:21 - 1:25: Water drop forms and remains on the spout.  
1:26 - 1:30: Mouse extends its right paw toward the spout.  
1:31 - 1:35: Water drop detaches and is captured by the mouse’s right paw.  
1:36 - 4:45: Mouse brings the water drop to its mouth but does not lick it. The tongue does not make contact with the water drop.  
7. 95%", 95%
1,1,77, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of water being consumed or transferred.  
6. 0:00 - 0:40: The mouse is positioned with its paws on the platform, head fixed, and no water drop visible.  
0:40 - 1:00: The water drop appears on the spout, and the mouse begins to extend its right paw toward the spout.  
1:00 - 1:20: The mouse's right paw reaches the spout and makes contact with the water drop.  
1:20 - 1:40: The water drop is dislodged from the spout and is held by the mouse's paw.  
1:40 - 2:00: The mouse attempts to bring the water drop to its mouth but fails to make contact with its tongue.  
2:00 - 2:20: The mouse continues to hold the water drop in its paw but does not consume it.  
2:20 - 2:40: The mouse drops the water drop, which falls away from the paw.  
2:40 - 3:00: The mouse remains in position with its paws on the platform, and no further interaction with the water drop occurs.  
7. 95%", 95%
2,2,25, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop on the spout, and successfully brought the entire drop into its mouth. The tongue made clear contact with the water, and the mouse consumed the full drop without spillage. The entire water drop was ingested, indicating a complete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop on the spout, and successfully brought the entire drop into its mouth. The tongue made clear contact with the water, and the mouse consumed the full drop without spillage. The entire water drop was ingested, indicating a complete retrieval.  
6. 0:00 - 1:30: The mouse remains stationary with both paws on the surface, head fixed, and no water drop visible.  
1:30 - 1:35: The water drop appears on the spout.  
1:35 - 1:40: The mouse lifts its right paw and moves it toward the spout.  
1:40 - 1:45: The right paw touches the water drop, and the drop adheres to the paw.  
1:45 - 1:50: The mouse brings the paw with the water drop toward its mouth.  
1:50 - 2:00: The mouse’s tongue makes contact with the water drop, and the drop is consumed.  
2:00 - 4:45: The mouse continues to lick and consume the water, with no spillage observed.  
7. 95%", 95%
3,3,27, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, and the water drop was fully consumed. The mouse's tongue made physical contact with the water drop, and the entire drop was consumed.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, and the water drop was fully consumed. The mouse's tongue made physical contact with the water drop, and the entire drop was consumed.  
6. 0:00 - 0:05: The mouse is positioned in front of the spout with its right paw near the spout.  
0:05 - 0:10: The water drop forms on the spout.  
0:10 - 0:15: The mouse's right paw moves towards the water drop.  
0:15 - 0:20: The mouse's right paw touches the water drop.  
0:20 - 0:25: The mouse's tongue makes contact with the water drop.  
0:25 - 0:30: The mouse consumes the water drop.  
0:30 - 0:35: The mouse continues to consume the water drop.  
0:35 - 0:40: The mouse finishes consuming the water drop.  
7. 95%", 95%
4,4,32, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed.  
6. 0:00 - 0:40: The mouse remains stationary with its paws resting on the surface, no water drop visible.  
0:40 - 0:45: The water drop appears on the spout, and the mouse's right paw begins to lift slightly.  
0:45 - 0:50: The right paw moves toward the spout but does not make contact with the water drop.  
0:50 - 1:00: The right paw returns to its original position without touching the drop.  
1:00 - 4:45: The mouse remains in the same position, with no further movement of the right paw or tongue toward the water drop.  
7. 95%", 95%
5,5,18, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of water being consumed or transferred.  
6. 0:00 - 0:30: The mouse is positioned in front of the spout, with its right paw near the spout but not touching it.  
0:30 - 0:40: The water drop forms on the spout and remains attached.  
0:40 - 1:00: The mouse extends its right paw toward the spout but does not make contact with the water drop.  
1:00 - 1:20: The mouse retracts its paw without touching the drop.  
1:20 - 4:45: The mouse remains in place, with no further movement of the paw or tongue toward the spout.  
7. 95%", 95%
6,6,61, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water, indicating full consumption. The water drop was fully consumed, as evidenced by the absence of any remaining droplet and the mouse's licking behavior.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water, indicating full consumption. The water drop was fully consumed, as evidenced by the absence of any remaining droplet and the mouse's licking behavior.  
6. 0:00 - 0:05: The mouse is positioned in front of the spout with its right paw near the water drop.  
0:05 - 0:10: The mouse's right paw moves toward the spout and makes contact with the water drop.  
0:10 - 0:15: The mouse's tongue extends and makes physical contact with the water drop.  
0:15 - 0:20: The mouse begins to lick the water, indicating consumption.  
0:20 - 0:25: The water drop is fully consumed, and the mouse continues to lick the spout.  
7. 95%", 95%
7,7,67, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, brought it close to its mouth, and the tongue made physical contact with the water drop, indicating that the mouse consumed the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, brought it close to its mouth, and the tongue made physical contact with the water drop, indicating that the mouse consumed the entire drop.  
6. 0:00 - 0:15: The mouse is positioned in front of the spout, with its paws resting on the surface.  
0:16 - 0:25: The mouse lifts its right paw and extends it towards the spout.  
0:26 - 0:35: The mouse's right paw makes contact with the water drop on the spout, and the water drop adheres to the paw.  
0:36 - 0:45: The mouse brings the water drop close to its mouth, and the tongue makes physical contact with the water drop.  
0:46 - 1:00: The mouse continues to lick the water drop from its paw, consuming it completely.  
7. 95%", 95%
8,8,66, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, brought it close to its mouth, and the tongue made physical contact with the water drop, indicating that the mouse consumed the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, brought it close to its mouth, and the tongue made physical contact with the water drop, indicating that the mouse consumed the entire drop.  
6. 0:00 - 0:55: The mouse is positioned in front of the spout, with its right paw resting on the surface.  
   0:56 - 1:00: The water drop forms on the spout.  
   1:01 - 1:10: The mouse's right paw lifts and moves toward the water drop.  
   1:11 - 1:20: The mouse's right paw touches the water drop, and the drop adheres to the paw.  
   1:21 - 1:30: The mouse brings the water drop close to its mouth.  
   1:31 - 1:40: The mouse's tongue makes physical contact with the water drop, and the mouse begins to drink.  
   1:41 - 4:40: The mouse continues to drink the water drop, with the tongue making repeated contact with the water.  
7. 95%", 95%
9,9,84, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop on the spout, and brought the drop directly to its mouth. The tongue made clear contact with the water, and the mouse consumed the entire drop without spillage. The water drop was fully transferred to the mouth and ingested, indicating complete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop on the spout, and brought the drop directly to its mouth. The tongue made clear contact with the water, and the mouse consumed the entire drop without spillage. The water drop was fully transferred to the mouth and ingested, indicating complete retrieval.  
6. 0:00 - 1:20: The mouse remains stationary with both paws on the surface, head fixed, and no water drop visible.  
1:20 - 1:40: The water drop appears on the spout, and the mouse begins to lift its right paw.  
1:40 - 2:00: The mouse's right paw reaches the spout and makes contact with the water drop.  
2:00 - 2:20: The mouse brings the water drop toward its mouth using its right paw.  
2:20 - 2:40: The mouse's tongue makes contact with the water drop, and it begins to lick and consume the liquid.  
2:40 - 4:45: The mouse continues to consume the water drop, with the tongue actively licking and the paw holding the drop close to the mouth. The drop is fully consumed.  
7. 95%", 95%
